"2D Materials","2D Mater."
"AAPG Bulletin","AAPG Bull."
"AAPG Memoir","AAPG Mem."
"ACS Applied Energy Materials","ACS Appl. Energy Mater."
"ACS Applied Materials & Interfaces","ACS Appl. Mater. Interfaces"
"ACS Applied Nano Materials","ACS Appl. Nano Mater."
"ACS Energy Letters","ACS Energy Lett."
"ACS Nano","ACS Nano"
"ACS Omega","ACS Omega"
"ACS Photonics","ACS Photonics"
"AGSO Journal of Australian Geology and Geophysics","AGSO J. Aust. Geol. Geophys."
"AIAA Journal","AIAA J."
"AIChE Journal","AIChE J."
"AIP Advances","AIP Adv."
"AIP Conference Proceedings","AIP Conf. Proc."
"APL Bioengineering","APL Bioeng."
"APL Materials","APL Mater."
"APL Photonics","APL Photonics"
"ASME Journal of Applied Mechanics","J. Appl. Mech. Trans. ASME"
"AVS Quantum Science","AVS Quantum Sci."
"Accounts of Chemical Research","Acc. Chem. Res."
"Acta Chemica Scandinavica","Acta Chem. Scand."
"Acta Crystallographica, Section A: Crystal Physics, Diffraction,Theoretical and General Crystallography","Acta Crystallogr. Sec. A"
"Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry","Acta Crystallogr. Sec. B"
"Acta Crystallographica","Acta Crystallogr."
"Acta Geologica Sinica","Acta Geol. Sin."
"Acta Geophysica","Acta Geophys."
"Acta Geotechnica","Acta Geotech."
"Acta Mathematica Academiae Scientiarum Hungaricae","Acta Math. Acad. Sci. Hung."
"Acta Metallurgica","Acta Metall."
"Acta Physica Austriaca","Acta Phys. Austriaca"
"Acta Physica Polonica A","Acta Phys. Pol. A"
"Acta Physica Polonica B","Acta Phys. Pol. B"
"Acta Physica Polonica","Acta Phys. Pol."
"Acta Physica","Acta Phys."
"Acta Seismologica Sinica","Acta Seismol. Sin."
"Acustica","Acustica"
"Advanced Electronic Materials","Adv. Electron. Mater."
"Advanced Energy Materials","Adv. Energy Mater."
"Advanced Engineering Materials","Adv. Eng. Mater."
"Advanced Functional Materials","Adv. Funct. Mater."
"Advanced Materials Interfaces","Adv. Mater. Interfaces"
"Advanced Materials Technologies","Adv. Mater. Technol."
"Advanced Materials for Optics and Electronics","Adv. Mater. Opt. Electron."
"Advanced Materials","Adv. Mater."
"Advanced Optical Materials","Adv. Opt. Mater."
"Advanced Quantum Technologies","Adv. Quantum Technol."
"Advances in Applied Mechanics","Adv. Appl. Mech."
"Advances in Atomic and Molecular Physics","Adv. At. Mol. Phys."
"Advances in Chemical Physics","Adv. Chem. Phys."
"Advances in Fluid Mechanics","Adv. Fluid Mech."
"Advances in Magnetic Resonance","Adv. Magn. Reson."
"Advances in Natural Sciences: Nanoscience and Nanotechnology","Adv. Nat. Sci.: Nanosci. Nanotechnol."
"Advances in Nuclear Physics","Adv. Nucl. Phys."
"Advances in Optics and Photonics","Adv. Opt. Photonics"
"Advances in Physics","Adv. Phys."
"Advances in Quantum Chemistry","Adv. Quantum Chem."
"Advances in Space Research","Adv. Space Res."
"Advances in Water Resources","Adv. Water Res."
"Advances in X-Ray Analysis","Adv. X-Ray Anal."
"Akusticheskii Zhurnal [Soviet PhysicsAcoustics]","Akust. Zh. [Sov. Phys. Acoust.]"
"American Association of Petroleum Geologists Bulletin","Am. Assoc. Pet. Geol. Bull."
"American Journal of Physics","Am. J. Phys."
"American Journal of Science","Am. J. Sci."
"American Laboratory","Am. Lab."
"American Mineralogist","Am. Mineral."
"Analytical Chemistry","Anal. Chem."
"Analytical Letters","Anal. Lett."
"Analytical Methods","Anal. Methods"
"Analytical Sciences","Anal. Sci."
"Andean Geology","Andean Geol."
"Angewandte Chemie International Edition","Angew. Chem. - Int. Ed."
"Annalen der Physik (Leipzig)","Ann. Phys. (Leipzig)"
"Annalen der Physik","Ann. Phys. (Berlin)"
"Annales de Chimie et de Physique","Ann. Chim. Phys."
"Annales de Geophysique","Ann. Geophys."
"Annales de Physique (Paris)","Ann. Phys. (Paris)"
"Annales de l'Institut Henri Poincaré, Section A: Physique Theorique","Ann. Inst. Henri Poincaré, A"
"Annales de l'Institut Henri Poincaré, Section B: Calculdes Probabilités et Statistique","Ann. Inst. Henri Poincaré, B"
"Annales de l'Institut Henri Poincaré","Ann. Inst. Henri Poincaré"
"Annals of Fluid Dynamics","Ann. Fluid Dyn."
"Annals of GIS","Ann. Gis"
"Annals of Glaciology","Ann. Glaciol."
"Annals of Mathematics","Ann. Math."
"Annals of Physics (New York)","Ann. Phys. (N.Y.)"
"Annals of Physics","Ann. Phys. (NY)"
"Annals of the New York Academy of Sciences","Ann. N.Y. Acad. Sci."
"Annual Review of Astronomy and Astrophysics","Annu. Rev. Astron. Astrophys."
"Annual Review of Atomic and Molecular Physics","Annu. Rev. At. Mol. Phys."
"Annual Review of Condensed Matter Physics","Annu. Rev. Condens. Matter Phys."
"Annual Review of Earth and Planetary Sciences","Annu. Rev. Earth Planet. Sci."
"Annual Review of Fluid Mechanics","Annu. Rev. Fluid Mech."
"Annual Review of Nuclear Science","Annu. Rev. Nucl. Sci."
"Annual Review of Physical Chemistry","Ann. Phys. Chem."
"Antarctic Science","Antarct. Sci."
"Anticancer Research","Anticancer Res."
"Applied Geochemistry","Appl. Geochem."
"Applied Geography","Appl. Geogr."
"Applied Geophysics","Appl. Geophys."
"Applied Materials Today","Appl. Mater. Today"
"Applied Mathematical Modelling","Appl. Math. Model."
"Applied Mathematics Letters","Appl. Math. Lett."
"Applied Mathematics and Computation","Appl. Math. Comput."
"Applied Mechanics Reviews","Appl. Mech. Rev."
"Applied Optics","Appl. Opt."
"Applied Physics A: Materials Science & Processing","Appl. Phys. Mater. Sci. Process."
"Applied Physics A","Appl. Phys. A"
"Applied Physics B","Appl. Phys. B"
"Applied Physics Express","Appl. Phys. Express"
"Applied Physics Letters","Appl. Phys. Lett."
"Applied Physics Reviews","Appl. Phys. Rev."
"Applied Sciences (Switzerland)","Appl. Sci. Switz."
"Applied Scientific Research","Appl. Sci. Res."
"Applied Spectroscopy","Appl. Spectrosc."
"Aquatic Geochemistry","Aquat. Geochem."
"Aquatic Sciences","Aquat. Sci."
"Archives of Mining Sciences","Arch. Min. Sci."
"Arkiv foer Fysik","Ark. Fys."
"Asian Journal of Experimental Sciences","Asian J. Exp. Sci."
"Asian Journal of Physics","Asian J. Phys."
"Astronomicheskii Zhurnal [Soviet Astronomy]","Astron. Zh. [Sov. Astron.]"
"Astronomische Nachrichten","Astron. Nachr."
"Astronomy & Geophysics","Astron. Geophys."
"Astronomy Letters","Astron. Lett."
"Astronomy and Astrophysics Review","Astron. Astrophys. Rev."
"Astronomy and Astrophysics","Astron. Astrophys."
"Astroparticle Physics","Astropart. Phys."
"Astrophysical Bulletin","Astrophys. Bull."
"Astrophysical Letters","Astrophys. Lett."
"Astrophysics and Space Science","Astrophys. Space Sci."
"Atomic Data and Nuclear Data Tables","At. Data. Nucl. Data Tables"
"Atomization and Sprays","Atomization Sprays"
"Atomnaya Energiya [Soviet Journal of Atomic Energy]","At. Energ. [Sov. J. At. Energy]"
"Australian Gemmologist","Aust. Gemmol."
"Australian Journal of Basic and Applied Sciences","Aust. J. Basic Appl. Sci."
"Australian Journal of Crop Science","Aust. J. Crop Sci."
"Australian Journal of Earth Sciences","Aust. J. Earth Sci."
"Australian Journal of Grape and Wine Research","Aust. J. Grape Wine Res."
"Australian Journal of Physics","Aust. J. Phys."
"BMR Journal of Geology and Geophysics","BMR J. Aust. Geol. Geophys."
"Basin Research","Basin Res."
"Bayer CropScience Journal","Bayer CropSci. J."
"Beilstein Journal of Nanotechnology","Beilstein J. Nanotechnol."
"Beiträge Zur Physik der Atmosphäre","Beitr. Zur Phys. Atmos."
"Bell Laboratories Record","Bell Lab. Rec."
"Bell System Technical Journal","Bell Syst. Tech. J."
"Berichte der Bunsengesellschaft für Physikalische Chemie","Ber. Bunsenges. Phys. Chem."
"Biofabrication","Biofabrication"
"Bioinspiration & Biomimetics","Bioinspir. Biomim."
"Biomedical Materials","Biomed. Mater."
"Biomedical Physics & Engineering Express","Biomed. Phys. Eng. Express"
"Biometrika","Biometrika"
"Biomicrofluidics","Biomicrofluidics"
"Boundary-Layer Meteorology","Boundary Layer Meteorol."
"British Journal of Applied Physics","Br. J. Appl. Phys."
"Bulletin of Alloy Phase Diagrams","Bull. Alloy Phase Diagr."
"Bulletin of Canadian Petroleum Geology","Bull. Can. Petrol. Geol."
"Bulletin of ECerS","Bull. ECerS"
"Bulletin of Engineering Geology and the Environment","Bull. Eng. Geol. Env."
"Bulletin of Glaciological Research","Bull. Glaciol. Res."
"Bulletin of The American Physical Society","Bull. Am. Phys. Soc."
"Bulletin of Volcanology","Bull. Volcanol."
"Bulletin of the Academy of Sciences of the USSR, Physical Series [translation of Izvestiya Akademii Nauk SSSR, Seriya Fizicheskaya]","Bull. Acad. Sci. USSR, Phys. Ser."
"Bulletin of the American Astronomical Society","Bull. Am. Astron. Soc."
"Bulletin of the American Meteorological Society","Bull. Am. Meteorol. Soc."
"Bulletin of the Astronomical Institutes of the Netherlands","Bull. Astron. Inst. Neth."
"Bulletin of the Chemical Society of Japan","Bull. Chem. Soc. Jpn."
"Bulletin of the Geological Society of Denmark","Bull. Geol. Soc. Den."
"Bulletin of the Seismological Society of America","Bull. Seismol. Soc. Am."
"Bureau of Mines Information Circular","Bur. Mines Inf. Circ."
"CIM Bulletin","CIM Bull."
"CIRP Annals","CIRP Ann."
"COSPAR Colloquia Series","COSPAR Colloq. Ser."
"Canadian Journal of Chemistry","Can. J. Chem."
"Canadian Journal of Earth Sciences","Can. J. Earth Sci."
"Canadian Journal of Genetics and Cytology","Can. J. Genet. Cytol."
"Canadian Journal of Physics","Can. J. Phys."
"Canadian Journal of Research","Can. J. Res."
"Canadian Mineralogist","Can. Mineral."
"Canadian Mining Journal","Can. Min. J."
"Chaos, Solitons & Fractals","Chaos, Solitons Fractals"
"Chaos","Chaos"
"Chemical Communications (Cambridge, England)","Chem. Commun. Camb. Engl."
"Chemical Physics Letters","Chem. Phys. Lett."
"Chemical Physics","Chem. Phys."
"Chemical Reviews","Chem. Rev."
"Chinese Astronomy and Astrophysics","Chin. Astron. Astrophy"
"Chinese Journal of Aeronautics","Chin. J. Aeronaut."
"Chinese Journal of Astronomy and Astrophysics","Chin. J. Astron. Astrophys."
"Chinese Journal of Geochemistry","Chin. J. Geochem."
"Chinese Journal of Physics","Chin. J. Phys."
"Chinese Physics B","Chin. Phys. B"
"Chinese Physics C","Chin. Phys. C"
"Chinese Physics Letters","Chin. Phys. Lett."
"Chinese Physics","Chin. Phys."
"Chinese Science Bulletin","Chin. Sci. Bull."
"Chinese-German Journal of Clinical Oncology","Chin. Ger. J. Clin. Oncol."
"Classical and Quantum Gravity","Class. Quantum Gravity"
"Combinatorics, Probability and Computing","Comb. Probab. Comput."
"Comments on Astrophysics and Space Physics","Comments Astrophys. Space Phys."
"Comments on Atomic and Molecular Physics","Comments At. Mol. Phys."
"Comments on Nuclear and Particle Physics","Comments Nucl. Part. Phys."
"Comments on Plasma Physics and Controlled Fusion","Comments Plasma Phys. Controlled Fusion"
"Comments on Solid State Physics","Comments Solid State Phys."
"Communications in Mathematical Physics","Commun. Math. Phys."
"Communications in Theoretical Physics","Commun. Theor. Phys."
"Communications on Pure and Applied Mathematics","Commun. Pure Appl. Math."
"Complex Systems","Complex Syst."
"Composite Interfaces","Compos. Interfaces"
"Composite Structures","Compos. Struct."
"Comptes Rendus Hebdomadaires des Séances de l’Académie des Sciences","C. R. Hebd. Séances Acad. Sci."
"Comptes Rendus Chimie","C. R. Chim."
"Comptes Rendus Geoscience","C. R. Geosci."
"Comptes Rendus Physique","C. R. Phys."
"Comptes Rendus de l'Académie des Sciences","C. R. Acad. Sci."
"Comptes Rendus de l’Académie des Sciences, Serie A: Sciences Mathématiques","C. R. Acad. Sci. Ser. A"
"Comptes Rendus de l'Académie des Sciences, Serie B: Sciences Physiques","C. R. Acad. Sci. Ser. B"
"Comptes Rendus de l'Académie des Sciences - Series I - Mathematics","Comptes Rendus Académie Sci. - Ser. I"
"Comptes Rendus de l'Académie des Sciences - Series IV - Physique et Astrophysique","Comptes Rendus Académie Sci. - Ser. IV"
"Computational Intelligence","Comput. Intell."
"Computational Mathematics and Mathematical Physics","Comput. Math. Math. Phys."
"Computational Mechanics","Comput. Mech."
"Computational Science & Discovery","Comput. Sci. Discovery"
"Computational Statistics and Data Analysis","Comput. Stat. Data Anal."
"Computer Physics Communications","Comput. Phys. Commun."
"Computers in Physics","Comput. Phys."
"Computing Letters","Comput. Lett."
"Computing in Science & Engineering","Comput. Sci. Eng."
"Condensed Matter Physics","Condens. Matter Phys."
"Condensed Matter Theories","Condens. Matter Theor."
"Contemporary Physics","Contemp. Phys."
"Continental Shelf Research","Cont. Shelf Res."
"Convergent Science Physical Oncology","Converg. Sci. Phys. Oncol."
"Cosmic Research","Cosmic Res."
"Cryogenics","Cryogenics"
"Current Applied Physics","Curr. Appl Phys."
"Czechoslovak Journal of Physics","Czech. J. Phys."
"Dalton Transactions","Dalton Trans."
"Diamond and Related Materials","Diam. Relat. Mater."
"Digital Signal Processing","Digital Signal Process."
"Discussions of the Faraday Society","Discuss. Faraday Soc."
"Doklady Akademii Nauk SSSR [Soviet Physics–Doklady]","Dokl. Akad. Nauk SSSR [Sov. Phys. Dokl.]"
"ECS Electrochemistry Letters","ECS Electrochem. Lett."
"ECS Journal of Solid State Science and Technology","ECS J. Solid State Sci. Technol."
"ECS Transactions","ECS Trans."
"EPJ Applied Metamaterials","EPJ Appl. Metamater."
"EPJ Data Science","EPJ Data Sci."
"EPJ Nuclear Sciences and Technologies","EPJ Nucl. Sci. Technol."
"EPJ Nonlinear Biomedical Physics","EPJ Nonlinear Biomed. Phys."
"EPJ Photovoltaics","EPJ Photovolt."
"EPJ Plus","EPJ Plus"
"EPJ Quantum Technology","EPJ Quantum Technol."
"EPJ Special Topics","EPJ Special Topics"
"EPJ Techniques and Instrumentation","EPJ Tech. Instrum."
"EPJ Web of Conferences","EPJ Web Conf."
"EPL (Europhysics Letters)","Europhys. Lett."
"e-Journal of Surface Science and Nanotechnology","E-J. Surf. Sci. Nanotechnol."
"Earth Planets Space [formerly Journal of Geomagnetism and Geoelectricity]","Earth Planets Space"
"Earth Science Frontiers","Earth Sci. Front."
"Earth Science Informatics","Earth Sci. Inf."
"Earth Sciences Research Journal","Earth Sci. Res. J."
"Earth and Planetary Science Letters","Earth Planet. Sci. Lett."
"Earth-Science Reviews","Earth Sci. Rev."
"Electron Backscatter Diffraction in Materials Science","Electron Backscatter Diffr. Mater. Sci."
"Electronic Structure","Electron. Struct."
"Electronics Letters","Electron. Lett."
"Energy Policy","Energy Policy"
"Engineering Research Express","Eng. Res. Express"
"Environmental Research Communications","Environ. Res. Commun."
"Environmental Research Letters","Environ. Res. Lett."
"European Journal of Applied Mathematics","Eur. J. Appl. Math."
"European Journal of Mechanics - A/Solids","Eur. J. Mech. A. Solids"
"European Journal of Mechanics - B/Fluids","Eur. J. Mech. B. Fluids"
"European Journal of Mineralogy","Eur. J. Mineral."
"European Journal of Phycology","Eur. J. Phycol."
"European Journal of Physics","Eur. J. Phys."
"Europhysics Letters","Europhys. Lett."
"Europhysics Letters (EPL)","Europhys. Lett."
"Experimental Astronomy","Exp. Astron."
"Experimental Heat Transfer","Exp. Heat Transfer"
"Experimental Hematology","Exp. Hematol."
"Experimental Mechanics","Exp. Mech."
"Experimental Mycology","Exp. Mycol."
"Experimental and Clinical Psychopharacology","Exp. Clin. Psychopharmacol."
"Experiments in Fluids","Exp. Fluids"
"Expert Systems with Applications","Expert Syst. Appl."
"Exploration Geophysics","Explor. Geophys."
"Exploration and Mining Geology","Explor. Min. Geol."
"Facta universitatis - series: Electronics and Energetics","Facta Univ. - Ser. Electron. Energ."
"Faraday Discussions","Faraday Discuss."
"Ferroelectrics","Ferroelectrics"
"Few-Body Systems","Few-Body Syst."
"Fields and Quanta","Fields Quanta"
"Fizika Elementarnykh Chastits i Atomnogo Yadra [Soviet Journal of Particles and Nuclei]","Fiz. Elem. Chastits At. Yadra [Sov. J. Part. Nucl.]"
"Fizika Metallov i Metallovedenie [Physics of Metals and Metallography (USSR)]","Fiz. Met. Metalloved. [Phys. Met. Metallogr. (USSR)]"
"Fizika Nizkikh Temperatur [Soviet Journal of Low Temperature Physics]","Fiz. Nizk. Temp. [Sov. J. Low Temp. Phys.]"
"Fizika Plazmy [Soviet Journal of Plasma Physics]","Fiz. Plazmy [Sov. J. Plasma Phys.]"
"Fizika Tverdogo Tela (Leningrad) [Soviet Physics–Solid State]","Fiz. Tverd. Tela (Leningrad) [Sov. Phys. Solid State]"
"Fizika i Tekhnika Poluprovodnikov [Soviet Physics–Semiconductors]","Fiz. Tekh. Poluprovodn. [Sov. Phys. Semicond.]"
"Flexible and Printed Electronics","Flex. Print. Electron."
"Fluid Dynamics Research","Fluid Dyn. Res."
"Fortschritte der Physik","Fortschr. Phys."
"Foundations of Physics","Found. Phys."
"Frontier Science Series","Front. Sci. Ser."
"Frontiers of Earth Science in China","Front Earth Sci. Chin."
"Functional Composites and Structures","Funct. Compos. Struct."
"Fuzzy Sets and Systems","Fuzzy Sets Syst."
"Gas Separation and Purification","Gas Sep. Purif."
"Gaswaerme International","Gaswaerme Int."
"General Relativity and Gravitation","Gen. Relativ. Gravit."
"Geo-Marine Letters","Geo-Mar. Lett."
"Geochemical Journal","Geochem. J."
"Geochemical Transactions","Geochem. Trans."
"Geochemistry, Geophysics, Geosystems","Geochem. Geophys. Geosyst."
"Geochemistry International","Geochem. Int."
"Geochimica et Cosmochimica Acta","Geochim. Cosmochim. Acta"
"Geological Journal","Geol. J."
"Geological Magazine","Geol. Mag."
"Geological Society, London, Special Publications","Geol. Soc. London Spec. Publ."
"Geological Society Special Publication","Geol. Soc. Spec. Pub."
"Geological Society Special Publications","Geol. Soc. Spec.Publ."
"Geological Society of America Bulletin","Geol. Soc. Am. Bull."
"Geological Society of America Special Papers","Geol. Soc. Spec. Pap."
"Geologie en Mijnbouw","Geol. Mijnbouw"
"Geologische Rundschau","Geol. Rundsch."
"Geologisches Jahrbuch","Geol. Jahrb."
"Geologiska Foereningens i Stockholm Foerhandlingar","GFF"
"Geologiya i Geofizika","Geol. Geofiz."
"Geology Today","Geol. Today"
"Geology of Ore Deposits","Geol. Ore Deposits"
"Geomagnetism and Aeronomy","Geomag. Aeron."
"Geomechanics and Geoengineering","Geomech. Geoeng."
"Geomechanics and Tunnelling","Geomech. Tunnelling"
"Geophysical Journal International","Geophys. J. Int."
"Geophysical Journal","Geophys. J."
"Geophysical Magazine","Geophys. Mag."
"Geophysical Prospecting","Geophys. Prospect."
"Geophysical Research Letters","Geophys. Res. Lett."
"Geosciences Journal","Geosci. J."
"Geostandards and Geoanalytical Research","Geostand. Geoanal. Res."
"Geotechnical Testing Journal","Geotech. Test. J."
"Geotextiles and Geomembranes","Geotext. Geomembr."
"Glass Research","Glass Res."
"Global Journal of Geological Sciences","Global J. Geol. Sci."
"Global Journal of Pure and Applied Sciences","Global J. Pure Appl. Sci."
"Gravitation and Cosmology","Gravitation Cosmol."
"Greenland Geoscience","Greenl. Geosci."
"Ground Water Monitoring Review","Ground Water Monit. Rev."
"Ground Water Monitoring and Remediation","Ground Water Monit. Rem."
"Ground Water","Ground Water"
"Heat Recovery Systems and CHP","Heat Recovery Syst. CHP"
"Heat Transfer - Asian Research","Heat Transfer Asian Res."
"Heat and Mass Transfer","Heat Mass Transfer"
"Helvetica Chimica Acta","Helv. Chim. Acta"
"Helvetica Physica Acta","Helv. Phys. Acta"
"High Temperature (USSR) [translation of Teplofizika Vysokikh Temperatur]","High Temp. (USSR)"
"Himalayan Geology","Himalayan Geol."
"Hydrogeology Journal","Hydrol. J."
"Hydrological Processes","Hydrol. Process."
"Hydrological Sciences Bulletin","Hydrol. Sci. Bull."
"Hydrological Sciences Journal","Hydrol. Sci. J."
"Hyperfine Interactions","Hyperfine Interact."
"IBM Journal of Research and Development","IBM J. Res. Dev."
"IBM Technical Disclosure Bulletin","IBM Tech. Discl. Bull."
"IEEE Electron Device Letters","IEEE Electron Device Lett."
"IEEE Geoscience and Remote Sensing Letters","IEEE Geosci. Remote Sens. Lett."
"IEEE Journal of Quantum Electronics","IEEE J. Quantum Electron."
"IEEE Journal of Selected Topics in Quantum Electronics","IEEE J. Sel. Top. Quantum Electron."
"IEEE Proceedings I - Solid-State and Electron Devices","IEEE Proc. Solid State Electron Devices"
"IEEE Transactions on Electron Devices","IEEE Trans. Electron Devices"
"IEEE Transactions on Geoscience and Remote Sensing","IEEE Trans. Geosci. Remote Sens."
"IEEE Transactions on Information Theory","IEEE Trans. Inf. Theory"
"IEEE Transactions on Instrumentation and Measurement","IEEE Trans. Instrum. Meas."
"IEEE Transactions on Magnetics","IEEE Trans. Magn."
"IEEE Transactions on Microwave Theory and Techniques","IEEE Trans. Microw. Theory Tech."
"IEEE Transactions on Nuclear Science","IEEE Trans. Nucl. Sci."
"IEEE Transactions on Sonics and Ultrasonics","IEEE Trans. Sonics Ultrason."
"IEEE Transactions on Terahertz Science and Technology","IEEE Trans. Terahertz Sci. Technol."
"IEEJ Transactions on Sensors and Micromachines","IEEJ Trans. Sens. Micromachines"
"IEICE Electronics Express","IEICE Electron. Express"
"IET Image Processing","IET Image Proc."
"IOP Conference Series: Earth and Environmental Science","IOP Conf. Ser.: Earth Environ. Sci."
"IOP Conference Series: Materials Science and Engineering","IOP Conf. Ser.: Mater. Sci. Eng."
"IOP SciNotes","IOP SciNotes"
"Icarus","Icarus"
"Industrial and Engineering Chemistry","Ind. Eng. Chem."
"Infrared Physics","Infrared Phys."
"Inorganic Chemistry","Inorg. Chem."
"Inorganic Materials (USSR) [translation of Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy]","Inorg. Mater. (USSR)"
"Instruments and Experimental Techniques (USSR) [translation of Pribory i Tekhnika Eksperimenta]","Instrum. Exp. Tech. (USSR)"
"International Applied Mechanics","Int. Appl. Mech."
"International DATA Series, Selected Data on Mixtures, Series A","Int. DATA Ser., Sel. Data Mixtures, Ser. A"
"International Geology Review","Int. Geol. Rev."
"International Journal for Numerical Methods in Fluids","Int. J. Numer. Methods Fluids"
"International Journal for Numerical and Analytical Methods in Geomechanics","Int. J. Numer. Anal. Methods Geomech."
"International Journal of Alternative Propulsion","Int. J. Altern. Propul."
"International Journal of Antimicrobial Agents","Int. J. Antimicrob. Agents"
"International Journal of Applied Earth Observation and Geoinformation","Int. J. Appl. Earth Obs. Geoinf."
"International Journal of Applied Glass Science","Int. J. Appl. Glass Sci."
"International Journal of Applied Systemic Studies","Int. J. Appl. Syst. Stud."
"International Journal of Approximate Reasoning","Int. J. Approximate Reasoning"
"International Journal of Aromatherapy","Int. J. Aromather."
"International Journal of Bifurcation and Chaos","Int. J. Bifurcation Chaos"
"International Journal of Cement Composites and Lightweight Concrete","Int. J. Cem. Compos. Lightweight Concrete"
"International Journal of Circuit Theory and Applications","Int. J. Circuit Theory Appl."
"International Journal of Climatology","Int. J. Climatol."
"International Journal of Coal Geology","Int. J. Coal Geol."
"International Journal of Computational Intelligence and Applications","Int. J. Comput. Intell. Appl."
"International Journal of Computational Methods","Int. J. Comput. Methods"
"International Journal of Computing Science and Mathematics","Int. J. Comput. Sci. Math."
"International Journal of Condensed Matter Research","Int. J. Condens. Matter Res."
"International Journal of Cosmetic Science","Int. J. Cosmet. Sci."
"International Journal of Crashworthiness","Int. J. Crashworthiness"
"International Journal of Critical Infrastructures","Int. J. Crit. Infrastruct."
"International Journal of Damage Mechanics","Int. J. Damage Mech"
"International Journal of Data Warehousing and Mining","Int. J. Data Warehouse. Min."
"International Journal of Digital Earth","Int. J. Digital Earth"
"International Journal of Earth Sciences","Int. J. Earth Sci."
"International Journal of Embedded Systems","Int. J. Embedded Syst."
"International Journal of Energy Research","Int. J. Energy Res."
"International Journal of Engine Research","Int. J. Engine Res."
"International Journal of Enterprise Information Systems","Int. J. Enterp. Inf. Syst."
"International Journal of Exergy","Int. J. Exergy"
"International Journal of Extreme Manufacturing","Int. J. Extrem. Manuf."
"International Journal of Fatigue","Int. J. Fatigue"
"International Journal of Fluid Mechanics Research","Int. J. Fluid Mech. Res."
"International Journal of Forming Processes","Int. J. Form. Processes"
"International Journal of Fracture Mechanics","Int. J. Fract.Mech."
"International Journal of Fracture","Int. J. Fract."
"International Journal of Fuzzy Systems","Int. J. Fuzzy Syst."
"International Journal of General Systems","Int. J. Gen. Syst."
"International Journal of Geomechanics","Int. J. Geomech."
"International Journal of Geometric Methods in Modern Physics","Int. J. Geom. Methods Mod. Phys."
"International Journal of Grid and Utility Computing","Int. J. Grid Util. Comput."
"International Journal of Heat Exchangers","Int. J. Heat Exch."
"International Journal of Heat and Fluid Flow","Int. J. Heat Fluid Flow"
"International Journal of Heat and Mass Transfer","Int. J. Heat Mass Transfer"
"International Journal of Heavy Vehicle Systems","Int. J. Heavy Veh. Syst."
"International Journal of High Performance Computing Applications","Int. J. High Perform. Comput. Appl."
"International Journal of High Performance Computing and Networking","Int. J. High Perform. Comput. Networking"
"International Journal of High Performance Systems Architecture","Int. J. High Perform. Syst. Archit."
"International Journal of Hydrogen Energy","Int. J. Hydrog. Energy"
"International Journal of Immunopharmacology","Int. J. Immunopharmacol."
