"2D Materials","2D Mater."
"International Journal of Information Quality","Int. J. Inf. Qual."
"International Journal of Information Security","Int. J. Inf. Secur."
"International Journal of Innovative Computing and Applications","Int. J. Innovative Comput. Appl."
"International Journal of Intelligent Information and Database Systems","Int. J. Intell. Inf. Database Syst."
"International Journal of Intelligent Systems","Int. J. Intell. Syst."
"International Journal of Life Cycle Assessment","Int. J. Life Cycle Assess."
"International Journal of Magnetism","Int. J. Magn."
"International Journal of Man-Machine Studies","Int. J. Man Mach. Stud."
"International Journal of Mathematical, Computational, Physical, Electrical and Computer Engineering","Int. J. Math. Comput. Phys. Electr. Comput. Eng."
"International Journal of Mechanical Sciences","Int. J. Mech. Sci."
"International Journal of Metadata, Semantics and Ontologies","Int. J. Metadata Semant. Ontol."
"International Journal of Mine Water","Int. J. Mine Water"
"International Journal of Mineral Processing","Int. J. Miner. Process."
"International Journal of Modelling and Simulation","Int. J. Model. Simul."
"International Journal of Modern Physics A","Int. J. Mod. Phys. A"
"International Journal of Modern Physics B","Int. J. Mod. Phys. B"
"International Journal of Modern Physics C","Int. J. Mod. Phys. C"
"International Journal of Modern Physics D","Int. J. Mod. Phys. D"
"International Journal of Modern Physics E","Int. J. Mod. Phys. E"
"International Journal of Multiphase Flow","Int. J. Multiphase Flow"
"International Journal of Multiphysics","Int. J. Multiphys."
"International Journal of Neural Systems","Int. J. Neural Syst."
"International Journal of Non-Equilibrium Processing","Int. J. Non Equilibr. Process"
"International Journal of Non-Linear Mechanics","Int. J. Non Linear Mech."
"International Journal of Nondestructive Testing","Int. J. Nondestr. Test."
"International Journal of Numerical Methods for Heat and Fluid Flow","Int. J. Numer. Methods Heat Fluid Flow"
"International Journal of Oncology","Int. J. Oncol."
"International Journal of Optomechatronics","Int. J. Optomechatronics"
"International Journal of PIXE","Int. J. PIXE"
"International Journal of Peptide Research and Therapeutics","Int. J. Pept. Res. Ther."
"International Journal of Phycology and Phycochemistry","Int. J. Phycol. Phycochem."
"International Journal of Pressure Vessels and Piping","Int. J. Press. Vessels Pip."
"International Journal of Quantum Chemistry, Part 1","Int. J. Quantum Chem. 1"
"International Journal of Quantum Chemistry, Part 2","Int. J. Quantum Chem. 2"
"International Journal of Quantum Chemistry","Int. J. Quantum Chem."
"International Journal of Quantum Information","Int. J. Quantum Inf."
"International Journal of Refrigeration","Int. J. Refrig"
"International Journal of Rehabilitation Research","Int. J. Rehabil. Res."
"International Journal of Reliability and Safety","Int. J. Reliab. Saf."
"International Journal of Remote Sensing","Int. J. Remote Sens."
"International Journal of Rock Mechanics and Mining Sciences","Int. J. Rock Mech. Min. Sci."
"International Journal of Rotating Machinery","Int. J. Rotating Mach."
"International Journal of Security and Networks","Int. J. Secur. Netw."
"International Journal of Sediment Research","Int. J. Sediment Res."
"International Journal of Services Operations and Informatics","Int. J. Serv. Oper. Inf."
"International Journal of Shape Modeling","Int. J. Shaping Model."
"International Journal of Simulation and Process Modelling","Int. J. Simul. Process Model."
"International Journal of Soft Computing","Int. J. Soft Comput."
"International Journal of Solids and Structures","Int. J. Solids Struct."
"International Journal of Space Structures","Int. J. Space Struct."
"International Journal of Sustainable Development","Int. J. Sustainable Dev."
"International Journal of Systems Science","Int. J. Syst. Sci."
"International Journal of Theoretical Physics","Int. J. Theor. Phys."
"International Journal of Thermodynamics","Int. J. Thermodyn."
"International Journal of Thermophysics","Int. J. Thermophys."
"International Journal of Tropical Insect Science","Int. J. Trop. Insect Sci."
"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems","Int. J. Uncertainty Fuzziness Knowledge Based Syst."
"International Journal of Vehicle Autonomous Systems","Int. J. Veh. Auton. Syst."
"International Journal of Vehicle Noise and Vibration","Int. J. Veh. Noise Vib."
"International Journal of Vehicle Safety","Int. J. Veh. Saf."
"International Journal of Vehicle Systems Modelling and Testing","Int. J. Veh. Syst. Model. Test."
"International Journal of Ventilation","Int. J. Vent."
"International Journal of Water Resources Development","Int. J. Water Resour. Dev."
"International Journal of Water","Int. J. Water"
"International Journal of Web Services Research","Int. J. Web Serv. Res."
"International Journal of Web and Grid Services","Int. J. Web Grid Serv."
"International Journal of Wireless Information Networks","Int. J. Wireless Inf. Networks"
"International Journal of Wireless and Mobile Computing","Int. J. Wireless Mobile Comput."
"International Journal on Algae","Int. J. Algae"
"International Journal on Artificial Intelligence Tools","Int. J. Artif. Intell. Tools"
"International Journal on Document Analysis and Recognition","Int. J. Doc. Anal. Recogn."
"International Journal on Hydropower and Dams","Int. J. Hydropower Dams"
"International Nonwovens Journal","Int. Nonwovens J."
"Inverse Problems","Inverse Prob."
"Ion Exchange and Solvent Extraction","Ion Exch. Solvent Extr."
"Ironmaking and Steelmaking","Ironmaking Steelmaking"
"Isotope Geoscience","Isot. Geosci."
"Izvestiya, Academy of Sciences, USSR, Atmospheric and Oceanic Physics [translation of Izvestiya Akademii Nauk SSSR, Fizika Atmosfery i Okeana]","Izv. Acad. Sci. USSR, Atmos. Oceanic Phys."
"Izvestiya, Academy of Sciences, USSR, Physics of the Solid Earth [translation of Izvestiya Akademii Nauk SSSR, Fizika Zemli]","Izv. Acad. Sci. USSR, Phys. Solid Earth"
"Izvestiya Akademii Nauk SSSR, Fizika Atmosfery i Okeana [Izvestiya, Academy of Sciences, USSR, Atmospheric and Oceanic Physics]","Izv. Acad. Nauk SSSR, Fiz. Atmos. Okeana [Izv. Acad. Sci. USSR, Atmos. Oceanic Phys.]"
"Izvestiya Akademii Nauk SSSR, Fizika Zemli [Izvestiya, Academy of Sciences, USSR, Physics of the Solid Earth]","Izv. Acad. Nauk SSSR, Fiz. Zemli. [Izv. Acad. Sci. USSR, Phys. Solid Earth]"
"Izvestiya Akademii Nauk SSSR, Neorganicheskie Materialy [Inorganic Materials (USSR)]","Izv. Akad. Nauk SSSR, Neorg. Mater. [Inorg. Mater. (USSR)]"
"Izvestiya Akademii Nauk SSSR, Seriya Fizicheskaya [Bulletin of the Academy of Sciences of the USSR, Physical Series]","Izv. Acad. Nauk SSSR, Ser. Fiz. [Bull. Acad. Sci. USSR, Phys. Ser.]"
"Izvestiya Physics of the Solid Earth","Izv. Phys. Solid Earth"
"Izvestiya Vysshikh Uchebnykh Zavedenii, Fizika [Soviet Physics Journal]","Izv. Vyssh. Uchebn. Zavad. Fiz. [Sov. Phys. J.]"
"Izvestiya Vysshikh Uchebnykh Zavedenii, Radiofizika [Soviet Radiophysics]","Izv. Vyssh. Uchebn. Zaved. Radiofiz. [Sov. Radiophys.]"
"Izvestiya: Mathematics","Izv. Math."
"JETP Letters","JETP Lett."
"Jahrbuch Oberflachentechnik","Jahrb. Oberflachentech."
"Japanese Journal of Applied Physics, Part 1","Jpn. J. Appl. Phys., Part 1"
"Japanese Journal of Applied Physics, Part 2: Letters and Express Letters","Jpn. J. Appl. Phys. Part 2 Lett. Express Lett."
"Japanese Journal of Applied Physics, Part 2","Jpn. J. Appl. Phys., Part 2"
"Japanese Journal of Applied Physics","Jpn. J. Appl. Phys."
"Japanese Journal of Phycology","Jpn. J. Phycol."
"Japanese Journal of Physics","Jpn. J. Phys."
"Journal American Water Works Association","J. Am. Water Works Assn."
"Journal de Chimie Physique","J. Chim. Phys."
"Journal de Physique (Paris)","J. Phys. (Paris)"
"Journal de Physique Colloques","J. Phys. Colloq."
"Journal de Physique IV (Proceedings)","J. Phys. IV Proc."
"Journal de Physique IV","J. Phys. IV"
"Journal de Physique et le Radium","J. Phys. Radium"
"Journal of AOAC International","J. AOAC Int."
"Journal of ASTM International","J. ASTM Int."
"Journal of Alloys and Compounds","J. Alloys"
"Journal of Applied Crystallography","J. Appl. Crystallogr."
"Journal of Applied Geophysics","J. Appl. Geophys."
"Journal of Applied Mathematics and Computing","J. Appl. Math. Comput."
"Journal of Applied Mathematics and Mechanics","J. Appl. Math. Mech."
"Journal of Applied Mechanics","J. Appl. Mech."
"Journal of Applied Phycology","J. Appl. Phycol."
"Journal of Applied Physics","J. Appl. Phys."
"Journal of Applied Remote Sensing","J. Appl. Remote Sens."
"Journal of Applied Spectroscopy (USSR) [translation of Zhurnal Prikladnoi Spektroskopii]","J. Appl. Spectrosc. (USSR)"
"Journal of Applied Systems Analysis","J. Appl. Syst. Anal."
"Journal of Asian Earth Sciences","J. Asian Earth Sci."
"Journal of Astronautical Sciences","J. Astronaut. Sci."
"Journal of Astrophysics and Astronomy","J. Astrophys. Astron."
"Journal of Atmospheric Sciences","J. Atmos. Sci."
"Journal of Atmospheric and Terrestrial Physics","J. Atmos. Terr. Phys."
"Journal of Breath Research","J. Breath Res."
"Journal of Colloid and Interface Science","J. Colloid Interface Sci."
"Journal of Computational Physics","J. Comput. Phys."
"Journal of Computational and Applied Mathematics","J. Comput. Appl. Math."
"Journal of Contemporary Physics","J. Contemp. Phys."
"Journal of Cosmology and Astroparticle Physics","J. Cosmol. Astropart. Phys."
"Journal of Crystal Growth","J. Cryst. Growth"
"Journal of Display Technology","J. Disp. Technol."
"Journal of Earth Science","J. Earth Sci."
"Journal of Earth System Science","J. Earth Syst. Sci."
"Journal of Elasticity","J. Elast."
"Journal of Electroceramics","J. Electroceramics"
"Journal of Electron Spectroscopy and Related Phenomenon","J. Electron Spectrosc. Relat. Phenom."
"Journal of Electronic Materials","J. Electron. Mater."
"Journal of Experimental and Theoretical Physics","J. Exp. Theor. Phys."
"Journal of Fire Sciences","J. Fire Sci."
"Journal of Fluid Mechanics","J. Fluid Mech."
"Journal of Fluids and Structures","J. Fluids Struct."
"Journal of Geochemical Exploration","J. Geochem. Explor."
"Journal of Geodesy","J. Geod."
"Journal of Geodynamics","J. Geodyn."
"Journal of Geographical Sciences","J. Geog. Sci."
"Journal of Geology","J. Geol."
"Journal of Geometry and Physics","J. Geom. Phys."
"Journal of Geophysical Research, A: Space Physics","J. Geophys. Res. A: Space Phys."
"Journal of Geophysical Research, B: Solid Earth","J. Geophys. Res. B: Solid Earth"
"Journal of Geophysical Research, Earth Surface","J. Geophys. Res. Earth Surf."
"Journal of Geophysical Research, Oceans","J. Geophys. Res. Oceans"
"Journal of Geophysical Research, Solid Earth","J. Geophys. Res. Solid Earth"
"Journal of Geophysical Research, Space Physics","J. Geophys. Res. Space Phys."
"Journal of Geophysical Research","J. Geophys. Res."
"Journal of Geophysics","J. Geophys."
"Journal of Geosciences","J. Geosci."
"Journal of Great Lakes Research","J. Great Lakes Res."
"Journal of Hazardous materials","J. Hazard. Mater."
"Journal of Heat Transfer","J. Heat Transfer"
"Journal of Heat Treating","J. Heat. Treat."
"Journal of High Energy Physics","J. High Energy Phys."
"Journal of Hydro-environment Research","J. Hydro-environ. Res."
"Journal of Hydrodynamics, Series B","J. Hydrodyn. Ser. B"
"Journal of Hydrology","J. Hydrol."
"Journal of Infrared, Millimeter, and Terahertz Waves","J. Infrared Millim. Terahertz Waves"
"Journal of Inorganic and Nuclear Chemistry","J. Inorg. Nucl. Chem."
"Journal of Instrumentation","J. Instrum."
"Journal of Lightwave Technology","J. Light. Technol."
"Journal of Low Temperature Physics","J. Low Temp. Phys."
"Journal of Luminescence","J. Lumin."
"Journal of Macromolecular Science, [Part B] Physics","J. Macromol. Sci. Phys."
"Journal of Magnetism and Magnetic Materials","J. Magn. Magn. Mater."
"Journal of Marine Research","J. Mar. Res."
"Journal of Marine Science and Application","J. Mar. Sci. Appl."
"Journal of Marine Systems","J. Mar. Sys."
"Journal of Materials Science: Materials in Electronics","J. Mater. Sci. Mater. Electron."
"Journal of Mathematical Fluid Mechanics","J. Math. Fluid Mech."
"Journal of Mathematical Physics (New York)","J. Math. Phys. (N.Y.)"
"Journal of Mathematical Physics","J. Math. Phys."
"Journal of Metamorphic Geology","J. Metamorph. Geol."
"Journal of Micromechanics and Microengineering","J. Micromechanics Microengineering"
"Journal of Mineralogical and Petrological Sciences","J. Mineral. Petrol. Sci."
"Journal of Mining Science","J. Min. Sci."
"Journal of Molecular Spectroscopy","J. Mol. Spectrosc."
"Journal of Multiscale Modeling","J. Multiscale Model."
"Journal of Nanoparticle Research","J. Nanoparticle Res. Interdiscip. Forum Nanoscale Sci. Technol."
"Journal of Nanophotonics","J. Nanophoton."
"Journal of Nature Conservation","J. Nat. Conserv."
"Journal of Navigation","J. Navig."
"Journal of Neural Engineering","J. Neural Eng."
"Journal of Non-Crystalline Solids","J. Non-Cryst. Solids"
"Journal of Non-Equilibrium Thermodynamics","J. Non-Equilib. Thermodyn."
"Journal of Non-Newtonian Fluid Mechanics","J. Non-Newtonian Fluid Mech."
"Journal of Nondestructive Evaluation","J. Nondestr. Eval."
"Journal of Nonlinear Mathematical Physics","J. Nonlinear Math. Phys."
"Journal of Nonlinear Science","J. Nonlinear Sci."
"Journal of Nuclear Energy, Part C: Plasma Physics, Accelerators, Thermonuclear Research","J. Nucl. Energy C"
"Journal of Nuclear Energy","J. Nucl. Energy"
"Journal of Nuclear Materials","J. Nucl. Mater."
"Journal of Optics","J. Opt."
"Journal of Paleolimnology","J. Paleolimnol."
"Journal of Paleontology","J. Paleontol."
"Journal of Palynology","J. Palynol."
"Journal of Peptide Science","J. Pept. Sci."
"Journal of Petroleum Geology","J. Pet. Geol"
"Journal of Petrology","J. Petrol."
"Journal of Phase Equilibria","J. Phase Equilibria"
"Journal of Phase Equilibrium and Diffusion","J. Phase Equilib. Diffus."
"Journal of Phase Equilibrium","J. Phase Equilib."
"Journal of Photochemistry and Photobiology C: Photochemistry Reviews","J. Photochem. Photobiol. C Photochem. Rev."
"Journal of Photochemistry and Photobiology","J. Photochem. Photobiol. Chem."
"Journal of Physical Chemistry","J. Phys. Chem."
"Journal of Physical and Chemical Reference Data","J. Phys. Chem. Ref. Data"
"Journal of Physics (Moscow)","J. Phys. (Moscow)"
"Journal of Physics A: General Physics","J. Phys. A: Gen. Phys."
"Journal of Physics A: Mathematical and General","J. Phys. A: Math. Gen."
"Journal of Physics A: Mathematical, Nuclear and General","J. Phys. A: Math. Nucl. Gen."
"Journal of Physics A: Mathematical and Theoretical","J. Phys. A: Math. Theor."
"Journal of Physics A","J. Phys. A"
"Journal of Physics B: Atomic, Molecular and Optical Physics","J. Phys. B: At. Mol. Opt. Phys."
"Journal of Physics B: Atomic and Molecular Physics","J. Phys. B: At. Mol. Phys."
"Journal of Physics B","J. Phys. B"
"Journal of Physics C: Solid State Physics","J. Phys. C: Solid State Phys."
"Journal of Physics C","J. Phys. C"
"Journal of Physics Communications","J. Phys. Commun."
"Journal of Physics D: Applied Physics","J. Phys. D: Appl. Phys."
"Journal of Physics D","J. Phys. D"
"Journal of Physics E: Scientific Instruments","J. Phys. E: Sci. Instrum."
"Journal of Physics E","J. Phys. E"
"Journal of Physics F: Metal Physics","J. Phys. F: Met. Phys."
"Journal of Physics F","J. Phys. F"
"Journal of Physics G: Nuclear and Particle Physics","J. Phys. G: Nucl. Part. Phys."
"Journal of Physics G","J. Phys. G"
"Journal of Physics and Chemistry of Solids","J. Phys. Chem. Solids"
"Journal of Physics: Complexity","J. Phys. Complexity"
"Journal of Physics: Condensed Matter","J. Phys.: Condens. Matter"
"Journal of Physics: Conference Series","J. Phys.: Conf. Ser."
"Journal of Physics: Energy","J. Phys. Energy"
"Journal of Physics: Materials","J. Phys. Mater."
"Journal of Physics: Photonics","J. Phys. Photonics"
"Journal of Plasma Physics","J. Plasma Phys."
"Journal of Polymer Science, Polymer Letters Edition","J. Polym. Sci. Polym. Lett. Ed."
"Journal of Polymer Science, Polymer Physics Edition","J. Polym. Sci. Polym. Phys. Ed."
"Journal of Polymer Science","J. Polym. Sci."
"Journal of Porphyrins and Phthalocyanines","J. Porphyrins Phthalocyanines"
"Journal of Quantitative Spectroscopy & Radiative Transfer","J. Quant. Spectrosc. Radiat. Transf."
"Journal of Radiological Protection","J. Radiol. Prot."
"Journal of Renewable & Sustainable Energy","J. Renew. Sustain. Energy"
"Journal of Research of the National Bureau of Standards, Section A: Physics and Chemistry","J. Res. Natl. Bur. Stand. Sec. A"
"Journal of Research of the National Bureau of Standards, Section B: Mathematical Sciences","J. Res. Natl. Bur. Stand. Sec. B"
"Journal of Research of the National Bureau of Standards, Section C: Engineering and Instrumentation","J. Res. Natl. Bur. Stand. Sec. C"
"Journal of Research of the National Bureau of Standards","J. Res. Natl. Bur. Stand."
"Journal of Research of the National Institute of Standards and Technology","J. Res. Natl. Inst. Stand. Technol."
"Journal of Rheology","J. Rheol."
"Journal of Science: Advanced Materials and Devices","J. Sci. Adv. Mater. Devices"
"Journal of Scientific Computing","J. Sci. Comput."
"Journal of Scientific Instruments","J. Sci. Instrum."
"Journal of Sea Research","J. Sea Res."
"Journal of Sedimentary Petrology","J. Sediment. Petrol."
"Journal of Sedimentary Research","J. Sediment. Res."
"Journal of Seismology","J. Seismolog."
"Journal of Semiconductor Technology and Science","J. Semicond. Technol. Sci."
"Journal of Semiconductors","J. Semicond."
"Journal of Sound and Vibration","J. Sound Vib."
"Journal of South American Earth Sciences","J. South Amer. Earth Sci."
"Journal of Southeast Asian Earth Sciences","J. Southeast Asian Earth Sci."
"Journal of Statistical Computation and Simulation","J. Stat. Comput. Simul."
"Journal of Statistical Mechanics: Theory and Experiment","J. Stat. Mech.: Theory Exp."
"Journal of Statistical Physics","J. Stat. Phys."
"Journal of Structural Geology","J. Struct. Geol."
"Journal of Superconductivity","J. Supercond."
"Journal of Surface Investigation: X-ray, Synchrotron and Neutron Techniques","J. Surf. Investig. X-Ray Synchrotron Neutron Tech."
"Journal of Synchrotron Radiation","J. Synchrotron Radiat."
"Journal of Systematic Palaeontology","J. Syst. Paleontol."
"Journal of Terramechanics","J. Terramech."
"Journal of Theoretical Biology","J. Theor. Biol."
"Journal of Thermophysics and Heat Transfer","J. Thermophys Heat Transfer"
"Journal of Ultrasound","J. Ultrasound"
"Journal of Ultrastructure Research","J. Ultrastruct. Res."
"Journal of VLSI Signal Processing","J. VLSI Sig. Proc."
"Journal of Vacuum Science & Technology A: Vacuum, Surfaces, and Films","J. Vac. Sci. Technol. A: Vac. Surf. Films"
"Journal of Vacuum Science & Technology A","J. Vac. Sci. Technol. A"
"Journal of Vacuum Science & Technology B: Microelectronics Processing and Phenomena","J. Vac. Sci. Technol. B: Microelectron. Process. Phenom."
"Journal of Vacuum Science & Technology B: Microelectronics and Nanometer Structures","J. Vac. Sci. Technol. B: Microelectron. Nanometer Struct."
"Journal of Vacuum Science & Technology B","J. Vac. Sci. Technol. B"
"Journal of Vacuum Science and Technology","J. Vac. Sci. Technol."
"Journal of Volcanology and Geothermal Research","J. Volcanol. Geotherm. Res."
"Journal of Volcanology and Seismology","J. Volcanol. Seismolog."
"Journal of the Acoustical Society of America","J. Acoust. Soc. Am."
"Journal of the American Ceramic Society","J. Am. Ceram. Soc."
"Journal of the American Chemical Society","J. Am. Chem. Soc."
"Journal of the American Institute of Electrical Engineers","J. Am. Inst. Electr. Eng."
"Journal of the Audio Engineering Society","J. Audio Eng. Soc."
"Journal of the Chemical Society","J. Chem. Soc."
"Journal of the China University of Geosciences","J. China Univ. Geosci."
"Journal of the Electrochemical Society","J. Electrochem. Soc."
"Journal of the Franklin Institute","J. Franklin Inst."
"Journal of the Geological Society (London, United Kingdom)","J. Geol. Soc. (London, U.K.)"
"Journal of the Geological Society of Australia","J. Geol. Soc. Aust."
"Journal of the Geological Society of Jamaica","J. Geol. Soc. Jam."
"Journal of the Geological Society of London","J. Geol. Soc. London"
"Journal of the Institute of Petroleum","J. Inst. Pet."
"Journal of the Korean Physical Society","J. Korean Phys. Soc."
"Journal of the Magnetics Society of Japan","J. Magn. Soc. Jpn."
"Journal of the Mechanics and Physics of Solids","J. Mech. Phys. Solids"
"Journal of the Optical Society of America A: Optics, Image Science & Vision","J. Opt. Soc. Am. A"
"Journal of the Optical Society of America B: Optical Physics","J. Opt. Soc. Am. B"
"Journal of the Optical Society of America","J. Opt. Soc. Am."
"Journal of the Physical Society of Japan","J. Phys. Soc. Jpn."
"Journal of the Roy Aeronautical Society","J. R. Aeronaut. Soc."
"Journal of the Royal Astronomical Society of Canada","J. R. Astron. Soc. Can."
"Journal of the Royal Society, Interface","J. R. Soc. Interface"
"Kolloid Zeitschrift & Zeitschrift für Polymere","Kolloid Z. Z. Polym."
"Kongelige Danske Videnskabernes Selskab, Matematisk-Fysiske Meddelelser","K. Dan. Vidensk. Selsk. Mater. Fys. Medd."
"Kristallografiya [Soviet Physics–Crystallography]","Kristallografiya [Sov. Phys. Crystallogr.]"
"Kvantovaya Elektronika (Moscow) [Soviet Journal of Quantum Electronics]","Kvant. Elektron. (Moscow) [Sov. J. Quantum Electron.]"
"Laser Physics Letters","Laser Phys. Lett."
"Laser Physics","Laser Phys."
"Laser and Particle Beams","Laser Part. Beams"
"Lecture Notes in Earth Sciences","Lect. Notes Earth Sci."
"Lecture Notes in Mathematics","Lect. Notes Math."
"Lecture Notes in Physics Monographs","Lect. Notes Phys. Monogr."
"Lecture Notes in Physics","Lect. Notes Phys."
"Lettere al Nuovo Cimento","Lett. Nuovo Cimento"
"Letters in Mathematical Physics","Lett. Math. Phys."
"Lick Observatory Bulletin","Lick Obs. Bull."
"Light: Science & Applications","Light Sci. Appl."
"Lithology and Mineral Resources","Lithol. Min. Resour."
"Los Alamos National Laboratory, Preprint Archive, Physics","Los Alamos Nat. Lab. Prepr. Arch. Phys."
"Low Temperature Physics","Low Temp. Phys."
"MRS Advances","MRS Adv."
"MRS Bulletin","MRS Bull."
"MRS Internet Journal of Nitride Semiconductor Research","MRS Internet J. Nitride Semicond. Res."
"MRS Proceedings","MRS Proc."
"Machine Learning: Science and Technology","Mach. Learn.: Sci. Technol."
"Macromolecules","Macromolecules"
"Marine Geology","Mar. Geol."
"Marine Geophysical Researches","Mar. Geophys. Res."
"Marine Mining","Mar. Min."
"Marine Observer","Mar. Obs."
"Marine Structures","Mar. struct."
"Marine and Freshwater Research","Mar. Freshwater Res."
"Marine and Petroleum Geology","Mar. Pet. Geol."
"Materials Research Bulletin","Mater. Res. Bull."
"Materials Research Express","Mater. Res. Express"
"Materials Research Society Symposium Proceedings","Mater. Res. Soc. Symp. Proc."
"Materials Science & Engineering B: Solid-State Materials for Advanced Technology","Mater. Sci. Eng. B Solid-State Mater. Adv. Technol."
"Materials Science and Engineering B","Mater. Sci. Eng. B"
"Materials Science and Engineering R: Reports","Mater. Sci. Eng. R Rep."
"Materials Science and Engineering: C","Mater. Sci. Eng. C"
"Materials Science and Engineering","Mater. Sci. Eng."
"Materials Science in Semiconductor Processing","Mater. Sci. Semicond. Process."
"Materials Science-Poland","Mater. Sci.-Pol."
"Materials for Quantum Technology","Mater. Quantum Technol."
"Materials","Materials"
"Mathematical Biosciences","Math. Biosci."
"Mathematical Geology","Math. Geol."
"Mathematical Geosciences","Math. Geosci."
"Mathematical Models and Methods in Applied Sciences","Math. Models Method Appl. Sci."
"Mathematical Physics Analysis and Geometry","Math. Phys. Anal. Geom."
"Mathematical Physics and Applied Mathematics","Math. Phys. Appl. Math."
"Mathematical Proceedings of the Cambridge Philosophical Society","Math. Proc. Cambridge Philos. Soc."
"Mathematics of Computation","Math. Comput."
"Mathematicsl Methods in the Applied Sciences","Math. Methods Appl. Sci."
"Mathematische Zeitschrift","Math. Z."
"Matter and Radiation at Extremes","Matter Radiat. at Extremes"
"Measurement Science and Technology","Meas. Sci. Technol."
"Mechanical Systems and Signal Processing","Mech. Syst. Sig. Process."
"Mechanics of Solids","Mech. Solids"
"Medical Physics","Med. Phys."
"Memoir - American Association of Petroleum Geologists","Mem. Am. Assoc. Pet. Geol."
"Memoirs of the Royal Astronomical Society","Mem. R. Astron. Soc."
"Metallurgical And Materials Transactions B-Process Metallurgy And Materials Processing Science ","Metall. Mater. Trans. B Process Metall. Mater. Process. Sci."
"Methods and Applications in Fluorescence","Methods Appl. Fluoresc."
"Metrologia","Metrologia"
"Mineralium Deposita","Miner. Deposita"
"Mineralogical Magazine","Mineral. Mag."
"Mineralogy and Petrology","Mineral. Petrol."
"Mining Journal","Min. J."
"Mining Magazine","Min. Mag."
"Mining and Scientific Press","Min. Sci. Press"
"Modelling and Simulation in Materials Science and Engineering","Model. Simul. Mater. Sci. Eng."
"Modern Physics Letters A","Mod. Phys. Lett. A"
"Modern Physics Letters B","Mod. Phys. Lett. B"
"Molecular Crystals and Liquid Crystals","Mol. Cryst. Liq. Cryst."
"Molecular Physics","Mol. Phys."
"Monthly Notices of the Royal Astronomical Society","Mon. Not. R. Astron Soc."
"Multifunctional Materials","Multifunct. Mater."
"NACTA Journal","NACTA J."
