"""Meteor"" Forschungsergebnisse","""Meteor"" Forschungsergeb."
"American Scientist","Amer. Sci."
"Annalen der Meteorologie","Ann. Meteor."
"Annales de Geophysique","Ann. Geophys."
"Annales de Physique","Ann. Phys."
"Annual Review of Fluid Mechanics","Annu. Rev. Fluid Mech."
"Applied Optics","Appl. Opt."
"Archiv für Meteorologie, Geophysik und Bioklimatologie","Arch. Meteor. Geophys. Bioklimatol."
"Atmosphere: Atmosphere—Ocean","Atmos.—Ocean"
"Atmospheric Environment","Atmos. Environ."
"Atmospheric Research","Atmos. Res."
"Atmósphera","Atmósphera"
"Australian Journal of Agricultural Research","Aust. J. Agric. Res."
"Australian Meteorological Magazine","Aust. Meteorol. Mag."
"Beitraege zur Physik der Atmosphaere","Beitr. Phys. Atmos."
"Boundary-Layer Meteorology","Bound.-Layer Meteorol."
"Bulletin of the American Meteorological Society","Bull. Amer. Meteorol. Soc."
"Chemical Engineering Science","Chem. Eng. Sci."
"Climate Dynamics","Clim. Dyn."
"Climatic Change","Clim. Change"
"Climatological Bulletin","Climatol. Bull."
"Communications on Pure and Applied Mathematics","Commun. Pure Appl. Math."
"Continental Shelf Research","Cont. Shelf Res."
"Contributions to Atmospheric Physics","Contrib. Atmos. Phys."
"Deep-Sea Research","Deep-Sea Res."
"Deutsche Hydrographische Zeitschrift","Dtsch. Hydrogr. Z."
"Dynamics of Atmospheres and Oceans","Dyn. Atmos. Oceans"
"Environmental Research","Environ. Res."
"Environmental Science and Technology","Environ. Sci. Technol."
"Eos, Transactions, American Geophysical Union (EOS)","Eos, Trans. Amer. Geophys. Union"
"Estuarine and Coastal Marine Science","Estuarine Coastal Mar. Sci."
"Europhysics Letters","Europhys. Lett."
"Geofisica Internationale","Geofis. Int."
"Geofysiske Publikasjoner","Geofys. Publ."
"Geologiya i Geofizika","Geol. Geofiz."
"Geophysical Fluid Dynamics","Geophys. Fluid Dyn."
"Geophysical Magazine","Geophys. Mag."
"Geophysical Research Letters","Geophys. Res. Lett."
"Geophysical and Astrophysical Fluid Dynamics","Geophys. Astrophys. Fluid Dyn."
"Geophysics","Geophysics"
"IEEE Transactions on Antennas and Propagation","IEEE Trans. Antennas Propag."
"IEEE Transactions on Geoscience and Remote Sensing","IEEE Trans. Geosci. Remote Sens."
"Infrared Physics","Infrared Phys."
"International Journal of Air and Water Pollution","Int. J. Air Water Pollut."
"International Journal of Remote Sensing","Int. J. Remote Sens."
"Izvestiya, Academy of Sciences, USSR, Atmospheric","Izv. Acad. Sci. USSR, Atmos. Oceanic Phys."
"Journal de Recherches Atmospheriques","J. Rech. Atmos."
"Journal of Aerosol Science","J. Aerosol Sci."
"Journal of Applied Meteorology","J. Appl. Meteorol."
"Journal of Applied Physics","J. Appl. Phys."
"Journal of Atmospheric and Oceanic Technology","J. Atmos. Oceanic Technol."
"Journal of Atmospheric and Terrestrial Physics","J. Atmos. Terr. Phys."
"Journal of Climate","J. Climate"
"Journal of Climate Meteorology","J. Clim. Meteorol."
"Journal of Climate and Applied Meteorology","J. Clim. Appl. Meteorol."
"Journal of Climatology","J. Climatol."
"Journal of Computational Physics","J. Comput. Phys."
"Journal of Fluid Mechanics","J. Fluid Mech."
"Journal of Geophysical Research","J. Geophys. Res."
"Journal of Geophysical Research: Oceans","J. Geophys. Res. Oceans"
"Journal of Glaciology","J. Glaciol."
"Journal of Hydrology","J. Hydrol."
"Journal of Marine Research","J. Mar. Res."
"Journal of Marine Systems","J. Mar. Syst."
"Journal of Meteorological Research, Japan","J. Meteorol. Res. Japan"
"Journal of Meteorology","J. Meteorol."
"Journal of Physical Chemistry","J. Phys. Chem."
"Journal of Physical Oceanography","J. Phys. Oceanogr."
"Journal of Scientific Instruments","J. Sci. Instrum."
"Journal of the Aeronautical Sciences","J. Aeronaut. Sci."
"Journal of the Atmospheric Sciences","J. Atmos. Sci."
"Journal of the Marine Technology Society","J. Mar. Technol. Soc."
"Journal of the Meteorological Society of Japan","J. Meteorol. Soc. Jpn."
"Journal of the Oceanographical Society of Japan","J. Oceanogr. Soc. Jpn."
"Mariners Weather Log","Mar. Wea. Log"
"Meteorological Magazine","Meteorol. Mag."
"Meteorological Monographs","Meteorol. Monogr."
"Meteorologische Rundschau","Meteor. Rundsch."
"Meteorologische Zeitschrift","Meteor. Z."
"Meteorologiya i Gidrologiya","Meteor. Gidrol."
"Meteorology and Atmospheric Physics","Meteorol. Atmos. Phys."
"Monthly Weather Review","Mon. Wea. Rev."
"National Weather Digest","Natl. Wea. Dig."
"Nature","Nature"
"New Zealand Journal of Marine and Freshwater Research","N. Z. J. Mar. Freshwater Res."
"Nuovo Cimento","Nuovo Cimento"
"Oceanography and Meteorology","Oceanogr. Meteorol."
"Papers in Meteorology and Geophysics","Pap. Meteorol. Geophys."
"Papers in Physical Oceanography and Meteorology","Pap. Phys. Oceanogr. Meteorol."
"Philosophical Transactions of the Royal Society of London","Philos. Trans. Roy. Soc. London"
"Physical Review","Phys. Rev."
"Physical Review Letters","Phys. Rev. Lett."
"Physics and Chemistry of the Earth B","Phys. Chem Earth B"
"Physics of Fluids","Phys. Fluids"
"Physikalische Zeitschrift","Phys. Z."
"Proceedings of the Royal Society of London","Proc. Roy. Soc. London"
"Pure and Applied Geophysics","Pure Appl. Geophys."
"Quarterly Journal of the Royal Meteorological Society","Quart. J. Roy. Meteorol. Soc."
"Radio Science","Radio Sci."
"Remote Sensing of the Environment","Remote Sens. Environ."
"Review of Scientific Instruments","Rev. Sci. Instrum."
"Reviews of Geophysics","Rev. Geophys."
"Reviews of Geophysics and Space Physics","Rev. Geophys. Space Phys."
"Revista Meteorologica","Rev. Meteor."
"Revista de Geofisica","Rev. Geofis."
"Science","Science"
"Scientific American","Sci. Amer."
"Space Science Review","Space Sci. Rev."
"Studies in Applied Mathematics","Stud. Appl. Math."
"Tellus","Tellus"
"Theoretical and Applied Climatology","Theor. Appl. Climatol."
"Trudy Geofizicheskogo Instituta, Akademiya Nauk SSSR","Tr. Geofiz. Inst., Akad. Nauk SSSR"
"Trudy Glavnoi Geofizicheskoi Observatorii","Tr. Gl. Geofiz. Obs."
"Water Resources Research","Water Resour. Res."
"Weather","Weather"
"Weather and Forecasting","Wea. Forecasting"
"Weatherwise","Weatherwise"
"World Meteorological Organization Bulletin","WMO Bull."
"Zeitschrift für Meteorologie","Z. Meteor."
