Id,Title,Acronym,Source,Rank,unknown,FoRA,FoRB,FoRC
2172, International Conference on Advanced Communications and Computation,INFOCOMP,CORE2023,Unranked,Yes,46,,
2189," International Conference on Ambient Systems, Networks and Technologies",ANT,CORE2023,Unranked,Yes,4606,,
2264,AAAI Conference on Human Computation and Crowdsourcing,HCOMP,CORE2023,B,Yes,4608,4605,
9,"ACIS Conference on Software Engineering Research, Management and Applications",SERA,CORE2023,C,No,4612,,
11,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2023,A*,Yes,4606,,
12,ACM Conference on Computer and Communications Security,CCS,CORE2023,A*,Yes,4604,,
13,ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2023,A,No,4608,,
14,ACM Conference on Economics and Computation,EC,CORE2023,A*,Yes,4602,4613,
15,ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2023,A*,Yes,4606,,
16,ACM Conference on Embedded Software,EMSOFT,CORE2023,Journal published,Yes,4606,,
18,ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2023,A,Yes,4612,,
2313,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,CORE2023,B,Yes,4604,,
21,ACM Information Technology Education,SIGITE,CORE2023,National: USA,No,4608,,
2319,ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,CORE2023,TBR,No,CSE,,
23,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2023,C,No,4607,4608,
22,ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,CORE2023,A,Yes,4601,4611,4605
24,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,CORE2023,A,No,4606,,
25,ACM International Conference on Information and Knowledge Management,CIKM,CORE2023,A,Yes,4605,4602,
1488,ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,CORE2023,Journal Published,Yes,4608,,
26,ACM International Conference on Knowledge Discovery and Data Mining,KDD,CORE2023,A*,Yes,4605,4611,
27,ACM International Conference on Mobile Computing and Networking,MOBICOM,CORE2023,A*,Yes,4606,,
28,ACM International Conference on Recommender Systems,RecSys,CORE2023,A,Yes,4605,,
29,ACM International Conference on Research and Development in Information Retrieval,SIGIR,CORE2023,A*,Yes,4605,,
30,ACM International Conference on Supercomputing,ICS,CORE2023,A,Yes,CSE,4606,
52,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,CORE2023,A*,Yes,4612,,
31,ACM International Conference on Web Search and Data Mining,WSDM,CORE2023,A,Yes,4605,4611,
1825,ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,CORE2023,journal published,No,4608,,
32,ACM International Symposium on Computer Architecture,ISCA,CORE2023,A*,Yes,CSE,4606,4612
33,ACM International Symposium on High Performance Distributed Computing,HPDC,CORE2023,A,No,4606,CSE,
34,ACM International Wireless Communications and Mobile Computing Conference,IWCMC,CORE2023,B,Yes,4606,,
37,ACM Multimedia,ACMMM,CORE2023,A*,Yes,4603,,
38,ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,CORE2023,A*,Yes,4607,4603,4608
42,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,CORE2023,B,Yes,4607,4603,
45,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,CORE2023,A,Yes,4606,,
46,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,CORE2023,A*,Yes,4605,,
48,ACM SIGOPS Symposium on Operating Systems Principles,SOSP,CORE2023,A*,Yes,4606,,
49,"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",LCTES,CORE2023,B,Yes,4606,,
50,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,CORE2023,C,Yes,4612,,
78,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,CORE2023,B,Yes,4606,,
54,ACM SIGUCCS Conference on User Services,SIGUCCS,CORE2023,National: USA,No,4601,,
55,ACM Special Interest Group on Computer Science Education Conference,SIGCSE,CORE2023,A,Yes,4608,,
56,ACM Special Interest Group on Management of Data Conference,SIGMOD,CORE2023,A*,Yes,4605,,
57,ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,CORE2023,B,No,4608,,
1775,"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)",SACMAT,CORE2023,C,No,4604,,
59,ACM Symposium on Applied Computing,SAC,CORE2023,Multiconference,No,4601,,
2003,ACM Symposium on Document Engineering,DocEng,CORE2023,B,Yes,4605,,
58,ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,CORE2023,A,Yes,4606,,
63,ACM Symposium on Principles of Distributed Computing,PODC,CORE2023,A*,Yes,4606,,
64,ACM Symposium on Solid and Physical Modelling,SPM,CORE2023,C,No,4607,4603,
65,ACM Symposium on Theory of Computing,STOC,CORE2023,A*,Yes,4613,,
66,ACM Symposium on User Interface Software and Technology,UIST,CORE2023,A*,Yes,4608,,
67,ACM Virtual Reality Software and Technology,VRST,CORE2023,A,Yes,4607,,
69,ACM Workshop on Hot Topics in Networks,HOTNETS,CORE2023,National: USA,No,4606,,
82,ACM-SIGACT Symposium on Principles of Programming Languages,POPL,CORE2023,A*,Yes,4612,,
84,ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,CORE2023,A*,Yes,4612,,
85,ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,CORE2023,B,Yes,4607,4608,
2310,ACM/IEEE International Conference on Human-Robot Interaction,HRI,CORE2023,A,Yes,4608,4602,
76,"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,CORE2023,A,Yes,4606,,
2246,ACM/IEEE Symposium on Edge Computing,SEC,CORE2023,unranked,Yes,4606,,
79,ACM/IFIP/USENIX International Middleware Conference,Middleware,CORE2023,A,Yes,4606,,
80,ACM/SIAM Symposium on Discrete Algorithms,SODA,CORE2023,A*,Yes,4613,,
2278,ACM/SPEC International Conference on Performance Engineering,ICPE,CORE2023,B,Yes,4612,4606,
86,ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,CORE2023,C,Yes,46,,
89,Advanced Concepts for Intelligent Vision Systems,ACIVS,CORE2023,B,Yes,4603,,
93,Advanced Visual Interfaces,AVI,CORE2023,B,No,4608,,
94,Advances in Cryptology,CRYPTO,CORE2023,A*,Yes,4604,,
97,Advances in Modal Logic,AiML,CORE2023,B,Yes,4613,,
98,Advances in Neural Information Processing Systems (was NIPS),NeurIPS,CORE2023,A*,Yes,4611,,
106,Algorithmic Learning Theory,ALT,CORE2023,B,Yes,4611,,
108,Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,CORE2023,B,Yes,4613,,
1968,American Medical Informatics Annual Fall Symposium,AMIA,CORE2023,National: USA,No,4601,,
117,Annual Computer Security Applications Conference,ACSAC,CORE2023,A,Yes,4604,,
1995,Annual Conference on Computer Science Logic,CSL,CORE2023,B,Yes,4613,,
126,Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,CORE2023,B,Yes,4608,,
127,"Annual Conference on Privacy, Security and Trust",PST,CORE2023,C,No,4604,,
132,Annual International Workshop on Presence,ISPR,CORE2023,C,No,4607,4608,
120,Annual Meeting of the Cognitive Science Society,CogSci,CORE2023,B,Yes,4602,,
1729,Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,CORE2023,B,Yes,4602,,
143,Applications of Information Visualization,IV-App,CORE2023,C,No,4608,,
144,Applications of Natural Language to Data Bases,NLDB,CORE2023,C,No,4602,4605,
145,Applied Computing Conference,ACC,CORE2023,C,No,4601,,
147,Architectural Support for Programming Languages and Operating Systems,ASPLOS,CORE2023,A*,Yes,4612,4606,
2186,Artificial Intelligence Applications and Innovations,AIAI,CORE2023,C,Yes,4601,4602,
917,"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,CORE2023,C,Yes,4607,4608,
162,Asia and South Pacific Design Automation Conference,ASPDAC,CORE2023,C,No,4606,,
61,"Asia Conference on Information, Computer and Communications Security",AsiaCCS,CORE2023,A,Yes,4604,,
159,Asia Pacific Conference on Communications,APCC,CORE2023,C,Yes,4606,,
240,Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),IES,CORE2023,C,Yes,4602,,
175,Asia-Pacific Bioinformatics Conference,APBC,CORE2023,B,No,4601,,
178,Asia-Pacific Conference on Conceptual Modelling,APCCM,CORE2023,Australasian C,No,4605,,
184,Asia-Pacific Network Operations and Management Symposium,APNOMS,CORE2023,C,No,4606,,
185,Asia-Pacific Services Computing Conference,APSCC,CORE2023,C,Yes,4606,,
186,Asia-Pacific Software Engineering Conference,APSEC,CORE2023,C,Yes,4612,,
167,Asian Conference on Computer Vision,ACCV,CORE2023,B,No,4603,,
2188,Asian Conference on Intelligent Information and Database Systems,ACIIDS,CORE2023,B,Yes,4605,4602,
2174,Asian Conference on Machine Learning,ACML,CORE2023,Unranked,No,4611,,
171,ASIAN Symposium on Programming Languages and Systems,APLAS,CORE2023,B,Yes,4612,,
189,"Asilomar Conference on Signals, Systems and Computing",ACSSC,CORE2023,National: USA,No,4606,,
196,Association for Computational Linguistics,ACL,CORE2023,A*,Yes,4602,,
193,Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,CORE2023,C,No,4601,,
211,Australasian Computing Education Conference (ACE),ACE,CORE2023,Australasian B,Yes,4608,,
210,Australasian Conference on Combinatorial Mathematics and Combinatorial Computing,ACCMCC,CORE2023,Australasian C,Yes,4613,,
212,Australasian Conference on Information Security and Privacy,ACISP,CORE2023,Australasian B,Yes,4604,,
216,Australasian Conference on Robotics and Automation,ACRA,CORE2023,Australasian C,Yes,4602,4603,
219,Australasian Database Conference,ADC,CORE2023,Australasian B,Yes,4605,,
1954,Australasian Document Computing Symposium,ADCS,CORE2023,Australasian B,Yes,4605,,
222,Australasian Information Security Conference,AISC,CORE2023,Australasian C,Yes,4604,,
224,Australasian Joint Conference on Artificial Intelligence,AI,CORE2023,Australasian B,Yes,4602,4611,4603
1966,Australasian Language Technology Workshop,ALTA,CORE2023,Australasian C,Yes,4602,,
229,Australasian Speech Science and Technology,SST,CORE2023,Australasian C,Yes,4602,,
231,Australasian Symposium on Parallel and Distributed Computing (was AusGrid),AusPDC,CORE2023,Australasian C,Yes,4606,,
247,Australian Computer Human Interaction Conference,OZCHI,CORE2023,Australasian B,Yes,4608,,
253,Australian Data Mining Conference,AusDM,CORE2023,Australasian C,Yes,4605,4611,
261,Australian Institute of Computer Ethics Conference,AICE,CORE2023,Australasian C,Yes,4608,,
279,Automated Software Engineering Conference,ASE,CORE2023,A*,Yes,4612,,
281,Automation of Software Test,AST,CORE2023,C,No,4612,,
288,Body Sensor Networks,BSN,CORE2023,C,No,4601,,
294,British Computer Society Conference on Human-Computer Interaction,HCI,CORE2023,National,Yes,4608,,
296,British Machine Vision Conference,BMVC,CORE2023,A,Yes,4603,,
2259,CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CHI PLAY,CORE2023,Journal Published,Yes,4608,4607,
319,Cologne-Twente Workshop on Graphs and Combinatorial Optimization,CTW,CORE2023,C,No,4613,,
321,Combinatorial Pattern Matching,CPM,CORE2023,B,Yes,4603,,
326,Computability in Europe: Logic and Theory of Algorithms,CiE,CORE2023,C,No,4613,,
327,Computational Intelligence in Security for Information Systems,CISIS,CORE2023,National: Spain,No,4604,,
331,Computer Aided Verification,CAV,CORE2023,A*,Yes,4612,4613,
2289,Computer Algebra in Scientific Computing,CASC,CORE2023,B,Yes,4613,,
333,"Computer Animation, Information Visualisation, and Digital Effects",CAivDE,CORE2023,C,No,4607,4603,
335,Computer Graphics International,CGI,CORE2023,C,Yes,4607,4603,
2229,Computer Sciences and Information Technologies,CSIT,CORE2023,National,Yes,4602,4612,4605
345,Conference for the International Simulation and Gaming Association,ISAGA,CORE2023,C,No,4607,4608,
346,Conference in Uncertainty in Artificial Intelligence,UAI,CORE2023,A,Yes,4602,,
348,Conference of the Association for Machine Translation in the Americas,AMTA,CORE2023,National/Regional,No,4602,,
349,Conference of the Association of Asian-Pacific Operational Research Societies,APORS,CORE2023,C,No,4602,,
352,Conference of the European Association for Machine Translation,EAMT,CORE2023,C,Yes,4602,,
2217,Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT,CORE2023,C,Yes,4602,4613,4601
355,Conference on Agile Software Development,XP,CORE2023,B,No,4612,,
2291,Conference on Algebra and Coalgebra in Computer Science,CALCO,CORE2023,B,Yes,4613,,
356,Conference on Algorithmic Aspects in Information and Management,AAIM,CORE2023,C,No,4613,,
361,Conference on Combinatorial Optimization and Applications,COCOA,CORE2023,C,Yes,4602,,
371,Conference on Computational Natural Language Learning,CoNLL,CORE2023,B,Yes,4602,4611,
2219,CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS,FedCSIS,CORE2023,Multi-conference,Yes,4602,4612,4601
1839,Conference on File and Storage Technologies,FAST,CORE2023,A,No,4605,,
365,Conference on Fun with Algorithms,FUN,CORE2023,National: Italy,No,4613,4605,
732,Conference on Games (was Computational Intelligence and Games CIG),COG,CORE2023,C,No,4607,4608,
368,Conference on Information Sciences and Systems,CISS,CORE2023,National: USA,No,4606,,
2201,"Conference on Innovation in Clouds, Internet and Networks",ICIN,CORE2023,National: France,Yes,4606,,
369,Conference on Innovative Data Systems Research,CIDR,CORE2023,A,No,4605,,
370,Conference on Integer Programming and Combinatorial Optimization,IPCO,CORE2023,A,Yes,4613,,
2292,Conference on Intelligent Computer Mathematics,CICM,CORE2023,C,Yes,4613,4612,4602
1245,"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,CORE2023,A,Yes,4613,,
124,Conference on Learning Theory,COLT,CORE2023,A*,Yes,4611,4602,
2308,Conference on Robot Learning,CoRL,CORE2023,Unranked,Yes,4602,4611,4603
378,Conference on Security and Cryptography for Networks,SCN,CORE2023,National: Italy,Yes,4604,,
380,"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,CORE2023,C,No,4608,,
381,Conference on Software in Telecommunications and Computer Networks,SOFTCOM,CORE2023,National: Croatia,No,4606,,
384,Conference on Theory and Applications of Models of Computation,TAMC,CORE2023,C,Yes,4613,,
385,Conference on Visualization and Data Analysis,VDA,CORE2023,National: USA,No,4608,,
398,"Cooperative Design, Visualization, and Engineering",CDVE,CORE2023,C,No,4608,,
1710,Cryptographers Track at RSA Conference,CT-RSA,CORE2023,B,Yes,4604,,
407,Current Trends in Theory and Practice of Computer Science,SOFSEM,CORE2023,B,Yes,46,,
408,Data Compression Conference,DCC,CORE2023,B,Yes,4605,,
410,Data Warehousing and Knowledge Discovery,DaWaK,CORE2023,B,Yes,4605,4611,
2243,"Datenbanksysteme für Business, Technologie und Web",BTW,CORE2023,National:Germany,Yes,4605,,
1996,Design Automation Conf,DAC,CORE2023,TBR,No,CSE,,
421,"Design, Automation and Test in Europe Conference",DATE,CORE2023,B,No,CSE,4612,
422,Designing Interactive Systems,DIS,CORE2023,A,Yes,4608,,
2177,Developments in eSystems Engineering,DeSE,CORE2023,C,Yes,46,,
425,Developments in Language Theory,DLT,CORE2023,C,Yes,4613,,
1997,Digital Audio Effects Conference,DAFX,CORE2023,C,No,4603,,
427,Digital Games Research Conference,DIGRA,CORE2023,C,No,4607,4608,
428,Digital Image Computing Techniques and Applications,DICTA,CORE2023,Australasian C,Yes,4603,,
2191,Discovery Science,DS,CORE2023,B,Yes,4611,4602,4601
1324,DNA Computing and Molecular Programming,DNA,CORE2023,B,No,4601,,
439,Dynamic Languages Symposium,DLS,CORE2023,C,Yes,4612,,
446,Educational Data Mining,EDM,CORE2023,B,No,4601,,
2159,"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,CORE2023,B,Yes,4602,,
448,Empirical Methods in Natural Language Processing,EMNLP,CORE2023,A*,Yes,4602,,
2193,Engineering Interactive Computing Systems,EICS,CORE2023,Journal Published,Yes,4608,4612,
457,ETHICOMP Conference,ETHICOMP,CORE2023,C,Yes,4608,,
2170,EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,CORE2023,C,Yes,4606,4608,
458,Euro XR International Conference (was Euro VR),Euro XR,CORE2023,C,No,4607,4608,
459,"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,CORE2023,C,No,4613,,
460,Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,CORE2023,C,No,4607,4603,
462,Eurographics/IEEE Symposium on Visualization,EuroVis,CORE2023,B,Yes,4607,4608,
463,Euromicro Conference on Real-Time Systems,ECRTS,CORE2023,B,Yes,4606,,
464,Euromicro Conference on Software Engineering and Advanced Applications,SEAA,CORE2023,B,No,4612,4601,
465,"Euromicro International Conference on Parallel, Distributed and Network Based Processing",PDP,CORE2023,C,No,4606,,
468,European Association for Computational Linguistics,EACL,CORE2023,A,Yes,4602,,
469,European Chapter on Combinatorial Optimization,ECCO,CORE2023,C,No,4613,,
473,European Conference on Artificial Intelligence,ECAI,CORE2023,A,Yes,4602,4603,4611
475,European Conference on Computational Biology,ECCB,CORE2023,C,No,4601,,
478,European Conference on Computer Supported Cooperative Work,ECSCW,CORE2023,B,No,4608,,
479,European Conference on Computer Vision,ECCV,CORE2023,A*,Yes,4603,,
480,European Conference on Digital Government (was European Conference on e-Government ECEG),ECDG,CORE2023,C,Yes,4601,,
2195,European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,CORE2023,B,Yes,4602,,
481,European Conference on Genetic Programming,EUROGP,CORE2023,B,Yes,4602,,
483,European Conference on Information Retrieval,ECIR,CORE2023,A,Yes,4605,,
491,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,CORE2023,A,Yes,4611,4605,
2287,European Conference on Modelling Foundations and Applications,ECMFA,CORE2023,B,Yes,4612,,
521,European Conference on Multi-Agent Systems,EUMAS,CORE2023,C,Yes,4602,,
488,European Conference on Object-Oriented Programming,ECOOP,CORE2023,A,Yes,4612,,
489,European Conference on Operations Research,EURO,CORE2023,C,No,4602,,
490,European Conference on Pattern Languages of Programs,EuroPLop,CORE2023,National: Germany,Yes,4612,,
2165,European Conference on Software Architecture,ECSA,CORE2023,A,Yes,4612,,
495,European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,CORE2023,C,No,4602,,
2262,European Conference on Technology Enhanced Learning,EC-TEL,CORE2023,B,Yes,4601,4608,
2192,European Dependable Computing Conference,EDCC,CORE2023,Unranked,Yes,4604,4612,4606
505,European MPI Users' Group Conference,EuroMPI,CORE2023,C,No,4606,,
510,European SPI,EuroSPI,CORE2023,B,Yes,4612,,
511,European Symposium on Algorithms,ESA,CORE2023,A,Yes,4613,,
512,European Symposium on Artificial Neural Networks,ESANN,CORE2023,B,No,4611,,
514,European Symposium on Programming,ESOP,CORE2023,A,Yes,4612,,
515,European Symposium On Research In Computer Security,ESORICS,CORE2023,A,Yes,4604,,
519,European Workshop on Computational Geometry,EuroCG,CORE2023,C,No,4613,,
524,European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,CORE2023,C,No,4605,,
525,Eurosys Conference,EuroSys,CORE2023,A,No,4606,,
527,Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,CORE2023,C,No,4612,,
2021,Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,CORE2023,B,Yes,4605,,
528,Extending Database Technology,EDBT,CORE2023,A,No,4605,,
2263,Eye Tracking Research and Applications,ETRA,CORE2023,B,Yes,4608,4607,4603
2318,Field Programmable Logic and Applications,FPL,CORE2023,TBR,No,CSE,,
533,Financial Cryptography and Data Security Conference,FC,CORE2023,A,Yes,4604,,
537,Flexible Query-Answering Systems,FQAS,CORE2023,C,No,4605,,
538,Florida Artificial Intelligence Research Society Conference,FlAIRS,CORE2023,National: USA,Yes,4602,,
2196,Formal Methods in Computer-Aided Design,FMCAD,CORE2023,B,Yes,4612,,
544,Forum on Specification and Design Languages,FDL,CORE2023,C,No,4612,,
546,Foundations of Genetic Algorithms,FOGA,CORE2023,A,Yes,4602,,
547,Foundations of Software Science and Computational Structures,FOSSACS,CORE2023,A,Yes,4613,4612,
548,Foundations of Software Technology and Theoretical Computer Science,FST&TCS,CORE2023,National: India,Yes,4613,,
2027,Frontiers in Education,FIE,CORE2023,C,Yes,4608,,
554,Fundamental Approaches to Software Engineering,FASE,CORE2023,B,Yes,4612,,
556,Genetic and Evolutionary Computations,GECCO,CORE2023,A,Yes,4602,,
560,Geometry Modeling and Processing,GMP,CORE2023,C,No,4613,4607,
565,"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,CORE2023,C,Yes,4604,,
572,Graph Drawing,GD,CORE2023,A,Yes,4613,,
573,Graphics Interface,GI,CORE2023,B,No,4607,4608,
574,Haskell Workshop,HASKELL,CORE2023,C,No,4612,,
2198,HCist - International Conference on Health and Social Care Information Systems and Technologies,HCist,CORE2023,Unranked,Yes,4601,,
576,Health Informatics Conference,HIC,CORE2023,Australasian C,Yes,4601,,
579,Heterogeneity in Computing Workshop,HCW,CORE2023,C,No,4606,,
584,Human System Interaction,HSI,CORE2023,C,No,4608,,
2215,Human-Agent Interaction,HAI,CORE2023,B,Yes,4608,,
2036,IADIS International Conference Applied Computing,IADIS AC,CORE2023,C,No,4601,,
592,IberoAmerican Congress on Pattern Recognition,CIARP,CORE2023,C,Yes,4603,4611,
2265,"ICT in Education, Research, and Industrial Applications",ICTERI,CORE2023,National: Ukraine,Yes,4601,4605,
595,IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,CORE2023,C,No,4602,,
596,IEEE Bioinformatics and Bioengineering,BIBE,CORE2023,C,No,4601,,
599,IEEE Computer Security Foundations Symposium (was CSFW),CSF,CORE2023,A,Yes,4604,,
2247,IEEE Conference of the Open Innovations Association FRUCT,FRUCT,CORE2023,Regional,Yes,4606,4613,
2184,IEEE Conference on Cognitive and Computational Aspects of Situation Management ,CogSIMA,CORE2023,National:USA,Yes,4606,,
602,IEEE Conference on Computational Complexity,CCC,CORE2023,A,Yes,4613,,
604,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,CORE2023,A*,Yes,4603,,
607,IEEE Conference on Local Computer Networks,LCN,CORE2023,B,Yes,4606,,
608,IEEE Conference on Mass Storage Systems and Technologies,MSST,CORE2023,National: USA,No,4606,,
611,"IEEE Conference on Systems, Man and Cybernetics",SMC,CORE2023,B,No,4608,,
758,IEEE Conference on Virtual Reality and 3D User Interfaces,VR,CORE2023,A*,Yes,4607,4608,
2061,IEEE Congress on Evolutionary Computation,CEC,CORE2023,B,Yes,4602,,
615,IEEE Congress on Services,SERVICES,CORE2023,B,No,4606,,
616,IEEE Consumer Communications and Networking Conference,IEEE CCNC,CORE2023,B,No,4606,,
2185,IEEE European Symposium on Security and Privacy,EuroS&P,CORE2023,A,Yes,4604,,
2316,IEEE European Test Symposium,ETS,CORE2023,TBR,No,CSE,,
620,IEEE Global Internet Symposium,GI,CORE2023,C,No,4606,,
