"Abhandlungen der Akademie der Wissenschaften in Mainz, Geistes und sozialwissenschaftliche Klasse","AAWM"
"Abhandlungen der Bayerischen Akademie der Wissenschaften, Philos.-Hist. Klasse","ABAW"
"Abhandlungen der Heidelberger Akademie der Wissenschaften, Philos.- Hist. Klasse","AHAW"
"Abhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig","ASAW"
"Acta ad archaeologiam et artium historiam pertinentia","AAAH"
"Acta Antiqua Academiae Scientiarum Hungaricae","AAntHung"
"Acta Archaeologica","AArch"
"Acta Archaeologica (Arheoloski Vestnik)","AArchSlov"
"Acta Archaeologica Academiae Scientiarum Hungaricae","AArchHung"
"Acta classica: proceedings of the Classical Association of South Africa","AClass"
"Acta classica Universitatis Scientiarum Debreceniensis","ACD"
"Acta Historica Academiae Scientiarum Hungaricae","AHistHung"
"Acta Iranica: encyclopédie permanente des études iraniennes","AI"
"Acta Orientalia Academiae Scientiarum Hungaricae","AOrientHung"
"Acta Univ. de Attila József nominatae, Acta antiqua et archaeologica.","AAASzeged"
"Acta Univ. de Attila Jozsef nominatae, Acta Historica","AHSzeged"
"Acta Universitatis Wratislaviensis. Classica Wratislaviensia.","ClassWrat"
"Aevum: rassegna di scienze storiche, linguistiche e filologiche","Aevum"
"Aevum antiquum","Aevum(ant)"
"Akroterion: quarterly for the Classics in South Africa","Akroterion"
"Akten der Gesellschaft für griechische und hellenistische Rechts- geschichte","AGR"
"Alba Regia: annales Musei Stephani Regis","Alba Regia"
"Allgemeine Zeitschrift für Philosophie","AZP"
"American Historical Review","AHR"
"American Journal of Ancient History","AJAH"
"American Journal of Archaeology","AJA"
"American Journal of Numismatics","AJN"
"American Journal of Philology","AJPh"
"American Philosophical Quarterly","APhQ"
"Analecta Bollandiana","AB"
"Analecta Malacitana: revista de la Sección de Filología de la Facultad de Filosofía y Letras","AMal"
"Analecta Romana Instituti Danic","ARID"
"Anales de Filologia clásica","AFC"
"Anales de Historia antigua y medieval","AHAM"
"Anales de la Universidad de Murcia, Facultad de Letras","AUM"
"Anatolian Studies: journal of the British Inst. of Archaeology at Ankara","AS"
"Ancient History","AH"
"Ancient Philosophy","AncPhil"
"Ancient Society","AncSoc"
"Anglo-Saxon England","ASE"
"Annales: économies, sociétés, civilisations","Annales (ESC)"
"Annales: histoire, sciences sociales","Annales (HSS)"
"Annales d'histoire et d'archéologie / Université Saint-Joseph","AHAUSJ"
"Annales de Bretagne et des Pays de l'Ouest","ABPO"
"Annales de l'Institut de philosophie","AIPh"
"Annales de la Faculté des Lettres et Sciences humaines de l'Université de Dakar","AFLD"
"Annales de Normandie","AnnNorm"
"Annales du Service des Antiquités d'égypte","ASAE"
"Annales Latini Montium Arvernorum: bulletin du Groupe d'études latines de l'Université de Clermont","ALMArv"
"Annales Universitatis Budapestinensis de Rolando Eötvös nominatae, Ê Sectio iuridica","AUBFjur.)"
"Annales Universitatis Budapestinensis de Rolando Eötvös nominatae, Ê Sectio philosophica et sociologica","AUB(phil)"
"Annales Universitatis Budapestinensis de Rolando Eötvös nominatae, Sectio classica","AUB(class)"
"Annales Valaisannes","AV"
"Annali del Dipartimento di filosofia dell'Università di Firenze","ADFF"
"Annali dell'Istituto di Storia, Univ. di Firenze","AISF"
"Annali dell'Istituto Italiano di Numismatica","AIIN"
"Annali dell'Istituto Italiano per gli Studi Storici","AIIS"
"Annali dell'Istituto universitario orientale di Napoli, Dipartimento di studi del mondo classico e del Mediterraneo antico, Sezione di archeologia e storia antica","AION(archeol)"
"Annali dell'Istituto universitario orientale di Napoli, Dipartimento di studi del mondo classico e del Mediterraneo antico, Sezione filologico-letteraria","AION(filol)"
"Annali dell'Istituto universitario orientale di Napoli, Dipartimento di studi del mondo classico e del Mediterraneo antico, Sezione linguistica","AION(ling)"
"Annali dell'Università di Ferrara, Sez. V, Sc. giurid","AUFG"
"Annali della Facoltà di Giurisprudenza, Università di Genova","AFGG"
"Annali della Facoltà di Lettere di Lecce","AFLL"
"Annali della Facoltà di Lettere e Filosofia, Università di Macerata","AFLM"
"Annali della Facoltà di Lettere e Filosofia dell'Università di Siena","AFLS"
"Annali della Facoltà di Lettere e Filosofia della Università di Cagliari","AFLC"
"Annali della Facoltà di Lettere e Filosofia della Università di Napoli","AFLN"
"Annali della Facoltà di Lettere e Filosofia di Bari","AFLB"
"Annali della Facoltà di Lettere e Filosofia di Perugia","AFLPer"
"Annali della Facoltà di Magistero dell'Università di Cagliari","AFMC"
"Annali della Facoltà di Scienze della Formazione dell'Università di Cagliari","AFSFC"
"Annali della Scuola Normale Superiore di Pisa, Classe di Lettere e Filosofia","ASNP"
"Annali del Liceo classico G. Garibaldi di Palermo","ALGP"
"Annali del Seminario Giuridico dell'Univ. di Palermo","ASGP"
"Annali di storia dell'esegesi","AnnSE"
"Annuaire de l'école pratique des Hautes études, IV' sect., Sciences hist. & philol","AEHE IV"
"Annuaire de l'école pratique des Hautes études, Ve sect., Sciences religieuses","AEHE V"
"Annuaire de l'Institut de Philologie et d'Histoire Orientales et Slaves de l'Université Libre de Bruxelles","AIPhO"
"Annuaire de l'Université de Sofia, Faculté des Lettres","AUS"
"Annuaire des amis de la Bibliothèque de Sélestat","AABS"
"Annuaire du Collège de France","ACF"
"Annual of the British School at Athens","ABSA"
"Annuario del Ginnasio Liceo A. Volta di Como","AGLComo"
"Annuario dell'Accademia etrusca di Cortona","AAEC"
"Annuario della Scuola Archeologica di Atene a delle Missioni Italiane in Oriente","ASAA"
"Annuarium Historiae Conciliorum","AHC"
"Antichità altoadriatiche","AAAD"
"Anticnaja drevnost'i srednije veka (L'antiquité et le Moyen Âge)","ADSV"
"Anticnyj mir i arkheologija (Le monde antique et l'archéologie)","AMA"
"Antike Kunst, hrsg. von der Vereiningung der Freunde antiker Kunst","AK"
"Antike und Abendland: Beiträge zum Verständnis der Griechen und Römer und ihre Nachlebens","A&A"
"Antike Welt","AW"
"Antiquités africaines","AntAfr"
"Anuari de filologia, Secció D, Studia Graeca et Latina","AFB"
"Anuario de Historia del Derecho Español","AHDE"
"Anzeiger der Österreichischen Akademie der Wissenschaften in Wien, Philos.-Hist. Klasse","AAWW"
"Anzeiger für die Altertumswissenschaft, hrsg. von der Österreichischen Humanistischen Gesellschaft","AAHG"
"Aquileia nostra: bolletino dell'Associazione nazionale per Aquileia","AN"
"Archaeologiai Ertesitö","AErt"
"Archaeological news","ArchN"
"Archaeological Reports","AR"
"Archaiologike ephemeris","AEph"
"Archaiologike Ephemeris","AE"
"Archaiologikon Deltion","AD"
"Archäologie der Schweiz: Mitteilungsblatt der Schweizerischen Gesellschaft für Ur- und Frühgeschichte","ArchS"
"Archäologie im Kanton Bern: Fundberichte und Aufsätze","AKBern"
"Archäologischer Anzeiger","AA"
"Archäologisches Korrespondenzblatt: Urgeschichte, Römerzeit, Frühmittelalter","AKB"
"Archeologia classica: rivista della Scuola naz. di Archeologia, pubbl. a cura degli Ist. di Archeologia e Storia dell'arte greca e romana e di Etruscologia e antichità italiche dell'Univ. di Roma","ArchClass"
"Archive for history of exact sciences","AHES"
"Archives d'histoire doctrinale et littéraire du Moyen Âge","AHMA"
"Archives de philosophie: recherches et documentation","ArchPhilos"
"Archives de philosophie du droit","APhD"
"Archives internationales d'histoire des sciences","AIHS"
"Archiv für Begriffsgeschichte: Bausteine zu einem historischen Wörterbuch der Philosophie","ABG"
"Archiv für Geschichte der Philosophie","AGPh"
"Archiv für Kulturgeschichte","AKG"
"Archiv für Musikwissenschaft","AMW"
"Archiv für Orientforschung: Internationale Zeitschrift für die Wissenschaft vom Vorderen Orient","AOF"
"Archiv für Papyrusforschung und verwandte Gebiete","APF"
"Archivio Glottologico Italiano","AGI"
"Archivio Storico per la Calabria e la Lucania","ASCL"
"Archivio Storico Pugliese","ASP"
"Archivio Storico Sardo","ASSARD"
"Archivo Español de Arqueología","AEA"
"Archiv orientální","ArchOrient"
"Archivum Latinitatis Medii Aevi (Bulletin Du Cange)","ALMA"
"Argeion oikonomikes istorias (Archives of Economic History, Athens)","AEH"
"Arheologiâ, publ. par l'Inst. d'Archéol. de l'Acad. des Sciences d'Ukraine et par la Soc. ukrainienne pour la préservation des monuments culturels et historiques","ARH"
"Atene e Roma: rassegna trimestrale dell'Associazione Italiana di Cultura classica","A&R"
"Atti del Centro ricerche e documentazione sull'antichità classica","CRDAC"
"Atti dell'Accademia di Scienze, Lettere e Arti di Palermo","AAPal"
"Atti dell'Accademia Ligure di Scienze e Lettere","AALIG"
"Atti dell'Accademia Pontaniana","AAP"
"Atti dell'Istituto Veneto di Scienze, Lettere ed Arti, Classe di Scienze morali e Lettere","AIV"
"Atti della Accademia delle Scienze di Torino, Classe di Scienze morali, storiche e filologiche","AAT"
"Atti della Accademia di Scienze morali e politiche della Società nazionale di Scienze, Lettere ed Arti di Napoli","AAN"
"Atti della Accademia Mediterranea delle Scienze","AAMed"
"Atti della Accademia Nazionale dei Lincei, Classe di Scienze Morali, Storiche e Filologiche. Rendiconti","RAL"
"Atti della Accademia Peloritana dei Pericolanti, Classe di Lettere, Filosofia e Belle Arti","AAPel"
"Atti della Accademia Roveretana degli Agiati, Classe di Scienze umane, Lettere ed Arti","AARov"
"Atti della Pontificia Accademia romana di Archeologia, Ser. IIIa, Memorie (in-4¡)","MPAA"
"Atti del Sodalizio glottologico milanese","ASGM"
"Atti e Memorie dell'Accademia Patavina di Scienze, Lettere ed Arti, Classe di Sc. mor., Lett. ed Arti","AAPat"
"Atti e Memorie dell'Accademia Toscana La Colombaria","AATC"
"Atti e Memorie dell'Arcadia","AMArc"
"Atti e memorie della Accademia Virgiliana di Mantova","AVM"
"Atti e Memorie della Società Istriana di Archeologia e Storia Patria","AMSI"
"Atti e memorie della Società Magna Grecia","ASMG"
"Atti e Memorie delle Accademie di Agricoltura, Scienze e Lettere di Verona","AMAV"
"Aufstieg und Niedergang der römischen Welt: Geschichte und Kultur Roms im Spiegel der neueren Forschung","ANRW"
"Augustan Age","AugAge"
"Augustinian Studies","AugStud"
"Basler Zeitschrift für Geschichte und Altertumskunde","BZG"
"Bayerische Vorgeschichtsblätter","BVBl"
"Beiträge zur allgemeinen und vergleichenden Archäologie","BAVA"
"Beiträge zur Namenforschung","BN"
"Bericht der Römisch-Germanischen Kommission des Deutschen Archäologischen Instituts","BRGK"
"Berichte zur Wissenschaftsgeschichte","BWG"
"Bibliotheca Orientalis, uitg. van het Nederlandsch Instituut voor het Nabije Oosten","BO"
"Bibliothek und Wissenschaft","B&W"
"Bibliothèque d'humanisme et Renaissance","BiblH&R"
"Bibliothèque de l'école des Chartes","BECh"
"Biblische Zeitschrift (Neue Folge)","BiZ"
"Boletín del Museo arqueológico nacional","BMAN"
"Boletín del Seminario de Estudios de Arte y Arqueología","BSEAA"
"Bolletino del Centro Inernazionale per lo Studio dei Papyri Ercolanesi (Cronache Ercolanesi)","BCPE"
"Bollettino d'arte del Ministero per i beni culturali e ambientali","BA"
"Bollettino dei classici","BollClass"
"Bollettino dei monumenti, musei e gallerie pontificie","BMMP"
"Bollettino della Badia Greca di Grottaferrata","BBGG"
"Bollettino di numismatica","BNum"
"Bollettino di studi latini: periodico quadrimestrale d'informazione bibliografica","BStudLat"
"Bonner Jahrbücher des Rheinischen Landesmuseums in Bonn und des Vereins von Altertumsfreunden im Rheinlande","BJ"
"British Archaeological Abstracts","BritAA"
"British Archaeological Bibliography","BritAB"
"British Journal for the History of Philosophy","BJHP"
"British Journal for the History of Science","BJHS"
"Bryn Mawr Classical Review","BMCRev"
"Bulletin Antieke Beschaving","BABesch"
"Bulletin archéologique du Comité des travaux historique","BCTH"
"Bulletin d'archéologie algérienne","BAA"
"Bulletin d'archéologie marocaine","BAM"
"Bulletin d'études orientales, publié par l'Institut Français de Damas","BEO"
"Bulletin d'information de l'Association internationale pour l'étude de la mosaïque antique","BullAIEMA"
"Bulletin de correspondance hellénique","BCH"
"Bulletin de l'Association Guillaume Budé","BAGB"
"Bulletin de l'Institut français d'archéologie orientale","BIAO"
"Bulletin de l'Institut historique belge de Rome","BIBR"
"Bulletin de la Classe des Lettres de l'Académie Royale de BelgiqueN","BAB"
"Bulletin de la Faculté des Lettres de Mulhouse","BFLM"
"Bulletin de la Société de linguistique de Paris","BSL"
"Bulletin de la Société française de numismatique","BSFN"
"Bulletin de la Société française de philosophie","BSPh"
"Bulletin de la Société internationale pour l'étude de la philosophie médiévale","BPHM"
"Bulletin de la Société nationale des antiquaires de France","BSAF"
"Bulletin de la Société toulousaine d'études classiques","BSTEC"
"Bulletin de littérature ecclésiastique","BLE"
"Bulletin des antiquités luxembourgeoises","BAL"
"Bulletin des Musées royaux d'Art et d'Histoire","BMAH"
"Bulletin de théologie ancienne et médiévale","BTh"
"Bulletin du Musée de Beyrouth","BMB"
"Bulletin of the American Schools of Oriental Research in Jerusalem and Baghdad","BASO"
"Bulletin of the American Society of Papyrologists","BASP"
"Bulletin of the Egyptological Seminar","BES"
"Bulletin of the History of Medicine","BHM"
"Bulletin of the Institute of Archaeology of the Univ. of London","BIAL"
"Bulletin of the Institute of Classical Studies of the University of London","BICS"
"Bulletin of the John Rylands Library","BRL"
"Bulletin of the Metropolitan Museum of Art","BMM"
"Bulletin of the Museum of Mediterranean and Near Eastern Antiquities","BMNE"
"Bulletin of the Museums of Art and Archaeology of the University of Michigan","BMUSUM"
"Bulletins de la Société des Antiquaires de l'Ouest","BSAO"
"Bulletins trimestriels de la Société des antiquaires de Picardie","BSAP"
"Bullettino dell'Istituto di Diritto romano","BIDR"
"Bullettino della Commissione Archeologica Comunale in Roma","BCAR"
"Byzantinische Forschungen: internationale Zeitschrift für Byzantinistik","ByzF"
"Byzantinische Zeitschrift","ByzZ"
"Byzantinoslavica: revue internationale des études byzantines","ByzSlav"
"Byzantion: revue internationale des études byzantines","Byzantion"
"Cahiers alsaciens d'archéologie, d'art et d'histoire","CAAH"
"Cahiers archéologiques: fin de l'antiquité et Moyen Âge","CArch"
"Cahiers d'histoire publ. par les Univ. de Clermont-Lyon-Grenoble","CH"
"Cahiers de l'Institut du Moyen Âge grec et latin","CIMA"
"Cahiers de Numismatique: bulletin de la Société d'études numismatiques et archéologiques","CahNum"
"Cahiers de philosophie politique et juridique","CPhPJ"
"Cahiers de recherches de l'Institut de Papyrologie et d'égyptologie de Lille III","CRIPEL"
"Cahiers des études anciennes","CEA"
"Cahiers du Centre d'études Chypriotes","CCEC"
"Cahiers du Centre Georges Radet","CCGR"
"Cahiers du Centre Gustave Glotz","CCG"
"Cahiers du groupe interdisciplinaire du théâtre antique (Cahiers du GITA)","CGITA"
"Cahiers Ferdinand de Saussure: review suisse de linguistique générale","CFS"
"Canadian Journal of Philosophy","CJPh"
"Canadian philosophical reviews","CPhRev"
"Canadian review of comparative literature","CRCL"
"Catholic Historical Review","CHR"
"Centre d'études et de documentation archéologique de la Conservation de Carthage. Bulletin","CEDAC"
"Chronique d'Egypte","CE"
"Church History","ChHist"
"Civiltà classica e cristiana","CCC"
"Classica: Boletim de pedagogia e cultura","Classica(Lisboa)"
"Classica: revista brasileira de estudos clássicos","Classica(Brasil)"
"Classica et mediaevalia: revue danoise d'histoire et de philologie publiée par la Société danoise pour les études anciennes et médiévales","C&M"
"Classical and Modern Literature","CML"
"Classical Antiquity","ClAnt"
"Classical Philology","CPh"
"Classical Quarterly","CQ"
"Classical Review","CR"
"Classical Studies","ClassStud"
"Clio Medica: acta Academiae internationalis historiae medicinae","CM"
"Codices manuscripti: Zeitschrift für Handschriftenkunde","CodMan"
"Colby Quarterly","ColbyQ"
"Comparative Literature","CompLit"
"Comparative Literature Studies","CLS"
"Comparative Studies in Society and History","CSSH"
"Comptes rendus de l'Académie des Inscriptions et Belles-Lettres","CRAI"
"Computers and the Humanitie","CHum"
"Connaissance hellénique","ConnHell"
"Contributi dell'Istituto di Storia antica dell'Univ. del Sacro Cuore","CISA"
"Corolla Londiniensis","CL"
"Cristianesimo nella storia: richerche storiche, esegetiche, teologiche","CrSt"
"Critica storica","CS"
"Cronache Ercolanesi","CronErc"
"Cuadernos de filología clásica. Estudios griegos e indoeuropeos.","CFC(G)"
"Cuadernos de filología clásica. Estudios latinos.","CFC(L)"
"Cuadernos de investigación filológica","CIF"
"Cuadernos de prehistoria i arqueología","CPAM"
"Cuaderns de prehistòria i arqueologia de Castelló","CPAC"
"Cultura e scuola","C&S"
"Damaszener Mitteilungen, hrsg. von dem Deutschen Archäologischen Institut (Station Damaskus)","MDAI(D)"
"Das Altertum, hrsg. vom Zentralinst. für Alte Gesch. und Archäol. der Dt. Akad. der DDR","Altertum"
"Der altsprachliche Unterricht: Arbeitshefte zu seiner wissenschaftlichen Begründung und praktischen Gestalt","AU"
"Deutsche Literaturzeitung für Kritik der internationalen Wissenschaft","DLZ"
"Deutsches Dante-Jahrbuch","DDJ"
"Dialoghi di archeologia","DArch"
"Dialogues d'histoire ancienne","DHA"
"Die Alte Stadt: Vierteljahreszeitschrift für Stadtgeschichte, Stadtsoziologie und Denkmalpflege","ASTADT"
"Die Welt des Orients: wissenschaftliche Beiträge zur Kunde des Morgenlandes","WO"
"Dissertations Abstracts: international abstracts of dissertation available in microfilm or as xerographic reproductions","DA"
"Downside Review","DR"
"Drevnejsije Gosudarstva na territorii SSSR (Les états les plus anciens sur le territoire de l'URSS: matériaux et recherches)","DGT"
"Dumbarton Oaks Papers","DOP"
"Durham University Journal","DUJ"
"East and West","E&W"
"Échos du monde classique (Classical Views)","EMC"
"Egitto e Vicino Oriente","EVO"
"Eikasmos: quaderni bolognesi di filologia classica","Eikasmos"
"Eirene: studia Graeca et Latina","Eirene"
"English Historical Review","EHR"
"Ensaios de literatura e filologia, publ. do Dept. de Letras clássicas, Fac. de Letras Univ. federal de Minas Gerais","ELF"
"Epeteris tes Hetaireias Eleiakon Meleton","EHEM"
"Epeteris tes Kentrou Ereunes tes Historias tou Hellenikou Dikaiou","EHHD"
"Ephemerides Theologicae Lovanienses","EThL"
"Epigraphica Anatolica: Zeitschrift für Epigraphik und historische Geographie Anatoliens","EA"
"Epistemonike epeterida tes philosophikes Scholes tou Aristoteleiou Panepistemiou Thessalonikes, Tmema philosophias","EEThess(philos)"
"Epistemonike epeteris tes philosophikes Scholes tou Panepistemiou Athenon","EEAth"
"Eranos: acta philologica Suecana","Eranos"
"Eranos-Jahrbuch","Eranos-Jb"
"Espacio, tiempo y forma: revista de la Facultad de Geografía e Historia, Ser. 1","ETF(arqueol)"
"Espacio, tiempo y forma: revista de la Facultad de Geografia e Historia, Ser. 2","ETF(hist)"
"Estudios clásicos: organo de la Sociedad espanola de estudios clásicos","EClás"
"Estudios de la antigüedad","EstAnt"
"Estudios humanisticos","EHum"
"Ethnographisch-archäologische Zeitschrift","EAZ"
"Études celtiques","EC"
"Études de lettres: bulletin de la Faculté des Lettres de l'Univ. de Lausanne et de la Soc. des études de Lettres","EL"
"Études indo-européennes","EIE"
"Études philosophiques","EPh"
"Excerpta philologica","ExcPhilol"
"Exemplaria: revista de literatura comparada","Exemplaria"
"Exemplaria Classica","ExClass"
"Gazette numismatique suisse","GNS"
"Geographia Antiqua","GeorgAnt"
"German Studies: a review of German-language research contributions. Sect. l: Philosophy and history","GS"
"Geschichte in Wissenschaft und Unterricht","GWU"
"Giornale critico della filosofia italiana","GCFI"
"Giornale di metafisica","GM"
"Giornale ferrarese di retorica e filologia","GFRF"
"Giornale italiano di filologia: rivista trimestrale di cultura","GIF"
"Gnomon: kritische Zeitschrift für die gesamte klassische Altertumswissenschaft","Gnomon"
"Göttinger Forum für Altertumswissenschaft","GFA"
"Göttingische Gelehrte Anzeigen","GGA"
"Graecolatina et Orientalia: zborník Filoz. Fak. Univerz. Komenského","GLO"
"Graecolatina Pragensia: acta Universitatis Carolinae","GLP"
"Grazer Beiträge: Zeitschrift für die klassische Altertumswissenschaft","GB"
"Greece and Rome","G&R"
"Greek, Roman and Byzantine Studies","GRBS"
"Hamburger Beiträge zur Archäologie","HBA"
"Hamburger Beiträge zur Numismatik","HBN"
"Harvard Library Bulletin","HLB"
"Harvard Studies in Classical Philology","HSPh"
"Harvard Theological Review","HThR"
"Hebrew Union College Annual","HebrUCA"
"Hefte des Archäologischen Seminars der Universität Bern","HASB"
"Ελληνικά: φιλολογικό, ιστορικό και λαογραφικό περιοδικό σύγγραμμα","Hellenica"
"Helvetia archaeologica","HA"
"Hermes: Zeitschrift für klassische Philologie","Hermes"
"Hispania antiqua: revista de historia antigua","HAnt"
"Histoire, épistémologie, langage","HEL"
"Histoire des sciences médicales","HSMed"
"Historia mathematica: international journal of the history of mathematics","HM"
"Historisches Jahrbuch","HJ"
"Historische Sprachforschung (Historical Linguistics)","HSF"
"Historische Zeitschrift","HZ"
"History and Philosophy of the Life Sciences","HPLS"
"History and Theory: studies in the philosophy of history","H&T"
"History of Philosophy Quarterly","HPhQ"
"History of political thought","HPTh"
"History of Religions","HR"
"History of Science","HS"
"History of Technology","HTechn"
"Humanistica Lovaniensia","HumLov"
"Hyperboreus: studia classica","Hyperboreus"
"Illinois Classical Studies","ICS"
"Il pensiero politico: rivista di storia delle idee politiche e sociali","PPol"
"Incontri linguistici","ILing"
"Indogermanische Forschungen","IF"
"Inozemna filologìâ (Philologie étrangère)","InFil"
"International journal of nautical archaeology","IJNA"
"International journal of philosophical studies","IJPS"
"International journal of the classical tradition","IJCT"
"International Philosophical Quarterly","IPQ"
"International Studies in Philosophy","ISPh"
"Invigilata lucernis: rivista dell'Istituto di Latino","InvLuc"
"Iranica antiqua","IA"
"Israel Exploration Journal","IEJ"
"Istoriko-filosofsky ezegodnik (History of philosophy yearbook), ed. by the Inst. of Philosophy of the Acad. of Sciences of URSS","IFE"
"Italia medioevale e umanistica","IMU"
"Jaarbericht van het Voor-Aziatisch-Egyptisch Genootschap Ex Oriente Lux","JVEG"
"Jahrbuch der Berliner Museen","JBerlM"
"Jahrbuch der Heidelberger Akad. der Wissenschaften","JHAW"
"Jahrbuch der Österreichischen Byzantinistik","JöByz"
"Jahrbuch der Schweizerischen Gesellschaft für Ur- und Frühgeschichte","JSGU"
"Jahrbuch des Deutschen Archäologischen Instituts","JDAI"
"Jahrbuch des Römisch-Germanischen Zentralmuseums","JRGZ"
"Jahrbuch für Antike und Christentum","JbAC"
"Jahrbuch für Numismatik und Geldgeschichte","JNG"
"Jahrbuch für Wirtschaftsgeschichte","JWG"
"Jahresberichte aus Augst und Kaiseraugst","JAK"
"Jahreshefte des Österreichischen Archäologischen Instituts","JöAI"
"Journal asiatique","JA"
"Journal des Savants","JS"
"Journal for the history of Arabic science","JHAS"
"Journal for the history of astronomy","JHA"
"Journal for the study of Judaism: (in the Persian, Hellenistic and Roman period)","JSJ"
"Journal of ancient civilizations","JAC"
"Journal of Biblical Literature","JBL"
"Journal of Classical Studies: the journal of the Class. Soc. of Japan","JCS"
"Journal of early Christian studies","JECS"
"Journal of Ecclesiastical History","JEH"
"Journal of Egyptian Archaeology","JEA"
"Journal of European archaeology","JEurArch"
"Journal of Field Archaeology","JFA"
"Journal of Glass Studies","JGS"
"Journal of Greco-Roman Studies","JGRS"
"Journal of Hellenic Studies","JHS"
"Journal of Indo-European Studies","JIES"
"Journal of Juristic Papyrology","JJP"
"Journal of Mediterranean archaeology","JMA"
"Journal of Near Eastern Studies","JNES"
"Journal of Philology","JPhil"
"Journal of Philosophy","JPh"
"Journal of prehistoric religion","JPR"
"Journal of Religion","JR"
"Journal of Religious History","JRH"
