"Archäologischer Anzeiger","AA"
"Αρχαιολογικά Ανάλεκτα εξ Αθηνών","AAA"
"Archeologia delle acque. Rivista semestrale di antropologia, archeologia, etnografia, storia dell'acqua","AAcque"
"The Archaeological Advertiser","AAdv"
"Annual of the Department of Antiquities of Jordan","AAJ"
"Archeologia delle Alpi","AAlpi"
"Aarbøger for nordisk oldkyndighed og historie","AarbKøb"
"Archeologia dell'architettura","AArchit"
"Les annales archéologiques arabes syriennes","AAS"
"The Annual of the American Schools of Oriental Research","AASOR"
"Archäologische Ausgrabungen in Baden-Württemberg","AausgrBadWürt"
"Archaeologia Austriaca","AAustr"
"Archäologische Berichte aus dem Yemen","ABADY"
"Abhandlungen der Deutschen Akademie der Wissenschaften zu Berlin","AbhBerlin"
"Abhandlungen der Rheinisch-Westfälischen Akademie der Wissenschaften","AbhDüsseldorf"
"Abhandlungen der Akademie der Wissenschaften zu Göttingen. Philologisch-Historische Klasse","AbhGoettingen"
"Abhandlungen der Sächsischen Akademie der Wissenschaften zu Leipzig. Philologisch-Historische Klasse","AbhLeipzig"
"Akademie der Wissenschaften und der Literatur in Mainz. Abhandlungen der Geistes- und Sozialwissenschaftlichen Klasse","AbhMainz"
"Bayerische Akademie der Wissenschaften. Philosophisch-Historische Klasse. Abhandlungen","AbhMünchen"
"Archéologie en Bretagne. Bulletin d'information","ABret"
"Abr-Nahrain. An Annual Published by the Department of Middle Eastern Studies, University of Melbourne","Abr-Nahrain"
"Archaeologia Bulgarica","ABulg"
"J. D. Beazley, Attic Black-figure Vase-painters (Oxford 1956)","ABV"
"Archeologia e calcolatori","ACalc"
"Archeologia in Campania. Bolletino di informazioni a cura della Soprintendenza archeologica delle province di Napoli e Caserta","ACamp"
"Archaeologia Cantiana","ACant"
"Accademie e biblioteche d'Italia","AcBibl"
"Achse, Rad und Wagen. Beiträge zur Geschichte der Landfahrzeuge","Achse"
"Acme. Annali della Facoltà di lettere e filosofia dell'Università degli studi di Milano","Acme"
"Acontia. Revista de arqueología","Acontia"
"Archeologia corsa","ACors"
"Acta ad archaeologiam et artium historiam pertinentia","ActaAArtHist"
"Acta ad archaeologiam et artium historiam pertinentia. Series altera in 8","ActaAArtHist SA"
"Acta Academiae Aboensis","ActaAcAbo"
"Acta archaeologica Carpathica","ActaACarp"
"Acta archaeologica Lovaniensia","ActaALov"
"Acta archaeologica Lovaniensia. Monographiae","ActaALovMono"
"Acta antiqua Academiae scientiarum Hungaricae","ActaAntHung"
"Acta archaeologica. København","ActaArch"
"Acta archaeologica Academiae scientiarum Hungaricae","ActaArchHung"
"Acta Instituti Atheniensis regni Sueciae","ActaAth"
"Acta classica. Proceedings of the Classical Association of South Africa","ActaCl"
"Acta classica Universitatis scientiarum Debreceniensis","ActaClDebrec"
"Acta historica. Societas academica Dacoromana","ActaHistDac"
"Acta hyperborea. Danish Studies in Classical Archaeology","ActaHyp"
"Acta Instituti Romani Finlandiae","ActaInstRomFin"
"Acta Musei Napocensis","ActaMusNapoca"
"Acta Musei Porolissensis","ActaMusPorol"
"Acta numismática (Barcelona)","ActaNum"
"Acta orientalia (Kopenhagen)","ActaOr"
"Acta orientalia Academiae scientiarum Hungaricae","ActaOrHung"
"Acta philologica. Societas academica Dacoromana","ActaPhilSocDac"
"Acta praehistorica et archaeologica","ActaPraehistA"
"Acta Universitatis Nicolai Copernici. Archaeologia","ActaTorunA"
"Acta Universitatis Nicolai Copernici. Historia","ActaTorunHist"
"Antike Denkmäler","AD"
"Abhandlungen des Deutschen Archäologischen Instituts, Abteilung Kairo","ADAIK"
"Adalya. Annual of the Suna & Inan Kiraç-Research Institute on Mediterranean Civilizations","Adalya"
"Αρχαιολογικόν Δελτίον (Μελέτες)","ADelt A"
"Αρχαιολογικόν Δελτίον (Χρονικά)","Adelt B"
"Arkeoloji dergisi. Ege Üniversitesi Edebiyat Fakültesi","ADerg"
"Ausgrabungen der Deutschen Forschungsgemeinschaft in Uruk-Warka","ADFU"
"Annali dell'Instituto di corrispondenza archeologica","AdI"
"Abhandlungen der Deutschen Orient-Gesellschaft","ADOG"
"Adumatu. A Semi-Annual Archeological Refereed Journal on the Arab World","Adumatu"
"L'année épigraphique","AE"
"Aegean Archaeology","AeA"
"Aegaeum. Annales d'archéologie égéenne de l'Université de Liège","Aegaeum"
"Ägypten und Levante. Egypt and the Levant. Internationale Zeitschrift für ägyptische Archäologie und deren Nachbargebiete","ÄgLev"
"Archeologia dell'Emilia-Romagna","AEmil"
"Αρχαιολογική Eφημερίς","AEphem"
"Atene e Roma","AeR"
"Το Αρχαιολογικό Έργο στη Μακεδονία και Θράκη","AErgoMak"
"Archaeologiai értesitő","AErt"
"Archivo español de arqueología","AEspA"
"Aevum. Rassegna di scienze storiche linguistiche e filologiche","Aevum"
"Aevum antiquum","AevumAnt"
"Archäologische Forschungen","AF"
"Archiv für Orientforschung","AfO"
"Africa. Institut national d'archéologie et d'art, Tunis","Africa"
"Antike Gemmen in deutschen Sammlungen","AGD"
"Archaeologia geographica","AGeo"
"The Athenian Agora","Agora"
"Excavations of the Athenian Agora. Picture Book","AgoraPB"
"Arqueologia e história","AHist"
"Archaeological and Historical Studies. The Archaeological Society of Alexandria","AHistStAlex"
"W. von Soden, Akkadisches Handwörterbuch (Wiesbaden 1965--1981)","AHw"
"Archäologie in Deutschland","AiD"
"Archäologische Informationen. Mitteilungen zur Ur- und Frühgeschichte","AInf"
"Annali dell'Istituto universitario orientale di Napoli. Dipartimento di studi del mondo classico e del Mediterraneo antico. Sezione di archeologia e storia antica","AIONArch"
"Annali dell'Istituto universitario orientale di Napoli. Dipartimento di studi del mondo classico e del Mediterraneo antico. Sezione filologicoletteraria","AIONFil"
"Annali dell'Istituto universitario orientale di Napoli. Dipartimento di studi del mondo classico e del Mediterraneo antico. Sezione linguistica","AIONLing"
"Annuaire de l'Institut de philologie et d'histoire orientales et slaves (Université Libre de Bruxelles)","AIPhOr"
"Aitna. Quaderni di topografia antica","Aitna"
"American Journal of Archaeology","AJA"
"Das archäologische Jahr in Bayern","AJahrBay"
"American Journal of Philology","AJPh"
"Archaeologia Jugoslavica","AJug"
"Archäologisches Korrespondenzblatt","AKorrBl"
"Alba Regia. Annales Musei Stephani regis","AlbaRegia"
"Alma mater studiorum Almanacco calabrese Almoraima","AlmaMaterSt"
"Österreichische Akademie der Wissenschaften. Almanach","AlmanachWien"
"'Alon mahleqat ha-'atiqot šel medinat Jisra'el","AlonJisrael"
"Al-Qanniš. Boletín del Taller de arqueología de Alcañiz","Al-Qannis"
"Altamura. Bollettino dell'Archivio-biblioteca-museo civico","Altamura"
"Alto medioevo","AltoMed"
"Ausgrabungen in Alt-Paphos auf Cypern","Alt-Paphos"
"Alt-Thüringen","AltThür"
"Mitteilungen des Deutschen Archäologischen Instituts, Athenische Abteilung","AM"
"Archaeologia medievale. Cultura materiale, insediamenti, territorio","AMediev"
"Advances in Archaeological Method and Theory","AMethTh"
"Archäologische Mitteilungen aus Iran","AMI"
"Archäologische Mitteilungen aus Iran und Turan","AMIT"
"American Journal of Ancient History","AmJAncHist"
"American Journal of Numismatics","AmJNum"
"Arheologia Moldovei","AMold"
"Archaeologia Mosellana","AMosel"
"Asia Minor Studien","AMS"
"American Studies in Papyrology","AmStP"
"Antike Münzen und geschnittene Steine","AMuGS"
"Archäologisches Nachrichtenblatt","ANachr"
"Archäologische Nachrichten aus Baden","ANachrBad"
"Anadolu araştırmaları. Jahrbuch für kleinasiatische Forschung","AnadoluAra"
"Anadolu Medeniyetleri Müzesi konferansları","AnadoluKonf"
"Anadolu Medeniyetleri Müzesi yıllığı","AnadoluYil"
"Analecta Aegyptiaca","AnAe"
"Anagennesis. A Papyrological Journal","Anagennesis"
"Analecta Bollandiana","AnalBolland"
"Analecta papyrologica","AnalP"
"Analecta Romana Instituti Danici","AnalRom"
"Anuario arqueológico de Andalucía","AnArqAnd"
"Anas. Museo nacional de arte romano de Mérida","Anas"
"Anatolian Archaeology. Reports on Research Conducted in Turkey","AnatA"
"Anatolia. Revue annuelle de l’Institut d’archéologie de l’Université d’Ankara","Anatolia"
"Archäologie und Naturwissenschaften","ANaturwiss"
"Ancient Civilizations from Scythia to Siberia. An International Journal of Comparative Studies in History and Archaeology","AncCivScytSib"
"The Ancient History Bulletin","AncHistB"
"The Ancient India","AncInd"
"Ancient Near Eastern Studies. An Annual","AncNearEastSt"
"Anales de arqueología cordobesa","AnCord"
"Ancient Society","AncSoc"
"The Ancient World","AncW"
"Ancient West and East","AncWestEast"
"Annali Zavoda za povijesne znanosti Istraivakog centra Jugoslavenske akademije znanosti i umjetnosti u Dubrovniku","AnDubr"
"Archaeological News","ANews"
"Archéologie du Nil moyen","ANilMoy"
"The Archaeological News Letter","ANL"
"Anais do municípo de Faro","AnMunFaro"
"Anales de prehistoria y arqueología. Universidad de Murcia","AnMurcia"
"Annuario. Accademia etrusca di Cortona","AnnAcEtr"
"Annuario della Accademia delle scienze di Torino","AnnAcTorino"
"Annali. Sezione di archeologia e storia antica. Istituto universitario orientale di Napoli. Dipartimento di studi del mondo classico e del Mediterraneo antico","AnnAStorAnt"
"Annali della Facoltà di lettere e filosofia, Università degli Studi, Bari","AnnBari"
"Annali Benacensi","AnnBenac"
"Annuario bibliografico di archeologia. Modena","AnnBiblAModena"
"Annuario bibliografico di archeologia. Nuove accessioni del \ldots. Biblioteca dell’Istituto nazionale di archeologia e storia dell’arte, Roma","AnnBiblARom"
"Annual Byzantine Studies Conference. Abstracts of Papers","AnnByzConf"
"Annnali della Facoltà di lettere e filosofia dell'Università di Cagliari","AnnCagl"
"Annali della Facoltà di magistero dell'Università di Cagliari","AnnCaglMag"
"Annales. Economies, sociétés, civilisations","AnnEconSocCiv"
"Annual Egyptological Bibliography","AnnEgBibl"
"Annales d'Éthiopie","AnnEth"
"Annali della Fondazione per il Museo Claudio Faina","AnnFaina"
"Annales d'histoire et d'archéologie","AnnHistA"
"Annales. Histoire, sciences sociales","AnnHistScSoc"
"Annuario. Istituto giapponese di cultura in Roma","AnnIstGiapp"
"Annali. Istituto italiano di numismatica","AnnIstItNum"
"Annali dell'Università di Lecce. Facoltà di lettere e filosofia e di magistero","AnnLecce"
"The Annual of Leeds University Oriental Society","AnnLeedsUnOrSoc"
"Annali della Facoltà di lettere e filosofia, Università di Macerata","AnnMacerata"
"Nuovi annali della Facoltà di magistero dell'Università di Messina","AnnMessMag"
"Annali del Museo civico di Rovereto. Sezione archeologia, storia, scienze naturali","AnnMusRov"
"Annali della Facoltà di lettere e filosofia, Università di Napoli","AnnNap"
"Les annales des pays Nivernais","AnnNivern"
"Annali. Associazione nomentana di storia e archeologia","AnnNoment"
"Annali. Rivista del Dipartimento di studi asiatici e del Dipartimento di studi e ricerche su Africa e paesi arabi, Istituto universitario orientale di Napoli","AnnOrNap"
"Annotazioni numismatiche","AnnotNum"
"Annali della Facoltà di lettere e filosofia, Università degli studi di Perugia, 1. Studi classici","AnnPerugia"
"Annali della Scuola normale superiore di Pisa","AnnPisa"
"Annuario della Pontificia accademia romana di archeologia","AnnPontAcRom"
"Annual Report of Council. British School of Archaeology at Athens","AnnRepBSA"
"Annual Report of the Department of Antiquities, Republic of Cyprus","AnnRepCypr"
"The Annual Report of the Fogg Art Museum","AnnRepFoggArtMus"
"Annali della Facoltà di lettere e filosofia, Università di Siena","AnnSiena"
"Annuario della Accademia nazionale dei Lincei","AnnuarioAcLinc"
"Annuario. Liceo-ginnasio statale G. Palmieri, Lecce","AnnuarioLecce"
"Annales Universitatis scientiarum Budapestinensis de Rolando Eötvös nominatae","AnnUnBud"
"Annual (Report). Worcester Art Museum","AnnWorcArtMus"
"Anodos. Studies of Ancient World","Anodos"
"Analecta orientalia. Commentationes scientificae de rebus orientis antiqui","AnOr"
"Aufstieg und Niedergang der römischen Welt","ANRW"
"Der Anschnitt. Mitteilungsblatt der Vereinigung der Freunde von Kunst und Kultur im Bergbau","Anschnitt"
"Museum Notes. American Numismatic Society","ANSMusNotes"
"Anatolian Studies","AnSt"
"Antaeus. Communicationes ex Instituto archaeologico Academiae scientiarum hungaricae","Antaeus"
"Antiquités africaines","AntAfr"
"Antike und Christentum","AntChr"
"L'antiquité classique","AntCl"
"Ανθρωπολογικά και Αρχαιολογικά Χρονικά","AnthrAChron"
"Άνθρωπος. Όργανο της Ανθρωπολογικής Εταιρείας Ελλάδος","Anthropos"
"Antichthon. Journal of the Australian Society for Classical Studies","Antichthon"
"Antigüedad y cristianismo. Monografías históricas sobre la antigüedad tardía","AntigCr"
"Antipolis. A Journal of Mediterranean Archaeology","Antipolis"
"Antiqua. Rivista dell'Archeoclub d'Italia","Antiqua"
"Antiquity. A Quarterly Review of Archaeology","Antiquity"
"The Antiquaries Journal","AntJ"
"Antike Kunst","AntK"
"Antiquités nationales. Saint-Germain-en-Laye","AntNat"
"Antichità pisane","AntPisa"
"Antike Plastik","AntPl"
"Antiquity and Survival","AntSurv"
"Antiquité tardive. Revue internationale d'histoire et d'archéologie","AntTard"
"Anzeiger für die Altertumswissenschaft","AnzAW"
"Anzeiger. Österreichische Akademie der Wissenschaften, Philosophisch-Historische Klasse","AnzWien"
"Alter Orient und Altes Testament. Veröffentlichungen zur Kultur und Geschichte des Alten Orients und des Alten Testaments","AOAT"
"Altorientalische Forschungen","AoF"
"Archeologičeskie otkrytija","AOtkryt"
"Archeologični pamjatki URSR","APamKiiv"
"L'année philologique","APh"
"Archaeologia Polona","APol"
"Apollo. Bolletino dei musei provinciali del Salernitano","Apollo"
"Apollo. The International Magazine of the Arts","ApolloLond"
"O arqueólogo português","APort"
"Appunti romani di filologia. Studi e comunicazioni di filologia, linguistica e letteratura greca e latina","AppRomFil"
"Arheološki pregled. Arheološko društvo Jugoslavije","APregl"
"Apulum. Acta Musei Apulensis","Apulum"
"Aquila legionis. Cuadernos des estudios sobre el ejército romano","AquiLeg"
"Aquileia nostra. Bollettino dell'Associazione nazionale per Aquileia","AquilNost"
"Aquitania. Une revue inter-régionale d'archéologie","Aquitania"
"Arabian Archaeology and Epigraphy","ArabAEpigr"
"Arheolokiradovi i rasprave","ARadRaspr"
"Arbeits- und Forschungsberichte zur sächsischen Bodendenkmalpflege","ArbFBerSaechs"
"Archäographie. Archäologie und elektronische Datenverarbeitung","Archäographie"
"Archaeologia or Miscellaneous Tracts Relating to Antiquity Published by the Society of Antiquaries of London","Archaeologia"
"Archaeology. A Magazine Dealing with the Antiquity of the World","Archaeology"
"Archaeometry. Bulletin of the Research Laboratory for Archaeology and History of Art, Oxford University","Archaeometry"
"Αρχαιογνωσία","Archaiognosia"
"Archiv für Begriffsgeschichte","ArchBegriffsGesch"
"Αρχείον των Βυζαντινών Μνημείων της Ελλάδος","ArchByzMnem"
"Archeologia classica","ArchCl"
"Archeo. Attualità del passato","Archeo"
"Archeografo triestino","ArcheogrTriest"
"Archeologia, Paris. L'archéologie dans le monde et tout ce qui concerne les recherches historiques, artistiques et scientifiques sur terre et dans les mers","ArcheologiaParis"
"Archeologia. Rivista bimestrale. Roma","ArcheologiaRoma"
"Archeologia. Rocznik Instytutu archeologii i etnologii, Polskiej akademii nauk","ArcheologiaWarsz"
"Archeologija. Nacional'na akademija nauk Ukraini. Institut archeologii","ArcheologijaKiiv"
"Archeologija. Organ na Archeologičeskija institut i muzej (pri Bălgarskata akademii nauk)","ArcheologijaSof"
"Αρχείον Ευβοϊκών Μελετών","ArchEubMel"
"Archaeologia Homerica","ArchHom"
"Architectura. Zeitschrift für Geschichte der Baukunst","Architectura"
"Archivi. Archivi d'Italia e rassegna internazionale degli archivi","Archivi"
"Archiv für Papyrusforschung und verwandte Gebiete","ArchPF"
"Archivo de prehistoria levantina","ArchPrehistLev"
"Archiv für Religionsgeschichte","ArchRel"
"Archivio storico per la Calabria e la Lucania","ArchStorCal"
"Archivio storico pugliese","ArchStorPugl"
"Archivio della Società romana di storia patria","ArchStorRom"
"Archivio storico per la Sicilia orientale","ArchStorSicOr"
"Archivio storico siracusano","ArchStorSir"
"Arctos. Acta philologica Fennica","Arctos"
"Archaeological Reports","ARepLond"
"Argo. časopis slovenskih muzejev, Narodni Muzej Slovenije","Argo"
"Archív orientální. Quarterly Journal of African and Asian Studies","ArOr"
"Archív orientální. Quarterly Journal of African, Asian and Latin American Studies. Monografie Archívu orientálního","ArOrMono"
"Archív orientální. Quarterly Journal of African, Asian and Latin American Studies. Supplementa","ArOrSuppl"
"Archeologické rozhledy","ARozhl"
"Arquivo de Beja. Boletim, estudos, arquivo","ArqBeja"
"Arse. Boletín del Centro arqueológico saguntino","Arse"
"Ars Georgica","ArsGeorg"
"Arte antica e moderna","ArtAntMod"
"Art et archéologie en Rhône-Alpes","ArtARhone"
"Artibus Asiae","ArtAs"
"The Art Bulletin","ArtB"
"Art Journal","ArtJ"
"Arte lombarda","ArtLomb"
"Arte medievale","ArtMediev"
"Arts in Virginia","ArtVirg"
"J. D. Beazley, Attic Red-figure Vase-painters \textsuperscript{2}(Oxford 1963)","ARV2"
"Archäologie in Sachsen-Anhalt","ASachs"
"Annales du Service des antiquités de l’Égypte","ASAE"
"Archäologische Sammlung der Universität Zürich","ASammlUnZuerch"
"Annuario della Scuola archeologica di Atene e delle missioni italiane in Oriente","ASAtene"
"Archeologičeskij sbornik. Gosudarstvennyj ordena Lenina Ermitaž","ASbor"
"Archäologie der Schweiz. Mitteilungsblatt der Schweizerischen Gesellschaft für Ur- und Frühgeschichte","ASchw"
"Archeologia e società","ASoc"
"Archäologie des Kantons Solothurn","ASoloth"
"Die antiken Sarkophagreliefs","ASR"
"Assaph. Studies in Art History","Assaph"
"Assyriological Miscellanies","AssyrMisc"
"AratirmaSonuçlariToplantisi","AST"
"L'archeologo subacqueo. Quadrimestrale di archeologia subacquea e navale","ASub"
"Archeologia subacquea. Studi, ricerche e documenti","ASubacq"
"Athenaeum. Studi di letteratura e storia dell'antichità","Athenaeum"
"`Atiqot. Journal of the Israel Department of Antiquities","Atiqot"
"`Atiqot. Journal of the Israel Department of Antiquities. Hebrew Series","AtiqotHeb"
"Atlal. The Journal of Saudi Arabian Archaeology","Atlal"
"Atti della Accademia pontaniana","AttiAcPontan"
"Atti della Accademia Roveretana degli Agiati. Contributi della classe di scienze umane, di lettere ed arti","AttiAcRov"
"Atti della Accademia delle scienze di Torino, 2. Classe di scienze morali, storiche e filologiche","AttiAcTorino"
"Atti. Centro ricerche e documentazione sull'antichità classica","AttiCAntCl"
"Atti. Centro studi e documentazione sull'Italia romana","AttiCItRom"
"Atti e memorie. Deputazione di storia patria per le province di Romagna","AttiMemBologna"
"Atti e memorie della Società dalmata di storia patria","AttiMemDal"
"Atti e memorie dell'Academia toscana di scienze e lettere »La Columbaria«","AttiMemFirenze"
"Atti e memorie della Società istriana di archeologia e storia patria","AttiMemIstria"
"Atti e memorie della Società Magna Grecia","AttiMemMagnaGr"
"Atti e memorie. Deputazione di storia patria per le antiche provincie modenesi","AttiMemModena"
"Atti e memorie della Società tiburtina di storia e d'arte","AttiMemTivoli"
"Atti dei Civici musei di storia ed arte di Trieste","AttiMusTrieste"
"Atti della Accademia di scienze, lettere e arti di Palermo","AttiPalermo"
"Atti. Centro di ricerche storiche, Rovigno","AttiRovigno"
"Atti della Società per la preistoria e protostoria della regione Friuli -- Venezia Giulia","AttiSocFriuli"
"Atti. Istituto veneto di scienze, lettere ed arti","AttiVenezia"
"Antike und Abendland","AuA"
"Aula orientalis. Revista de estudios del Próximo Oriente antiguo","AulaOr"
"Ausgrabungen und Funde. Nachrichtenblatt der Landesarchäologie","AusgrFu"
"Ausgrabungen und Funde in Westfalen-Lippe","AusgrFuWestf"
"Pro Austria Romana","AustrRom"
"Archeologia, uomo, territorio. Rivista dei Gruppi archeologici Nord Italia","AUTerr"
"Ausgrabungen in Uruk-Warka. Endberichte","AUWE"
"Archäologische Veröffentlichungen. Deutsches Archäologisches Institut, Abteilung Kairo","AV"
"Archeologia veneta","AVen"
"Arheološki vestnik (Ljubljana)","AVes"
"Archeologia viva","AViva"
"Altertümer von Pergamon","AvP"
"Antike Welt. Zeitschrift für Archäologie und Kulturgeschichte","AW"
"Ayasofia Müzesi yıllığı. Annual of Ayasofya Museum","AyasofyaMuezYil"
"Archäologische Zeitung","AZ"
"Azotea. Revista de cultura del Ayuntamiento de Coria del Río","Azotea"
"Bollettino di archeologia","BA"
"Baalbek. Ergebnisse der Ausgrabungen und Untersuchungen in den Jahren 1898 bis 1905","Baalbek"
"Bulletin d'archéologie algérienne","BAAlger"
"Butlletí informatiu de l'Institut de prehistòria i arqueologia de la Diputació provincial de Barcelona","BABarcel"
"Bulletin antieke beschaving. Annual Papers on Classical Archaeology","BABesch"
"Boletín de la Real academia de la historia","BAcRHist"
"Bulletin de la Société d'archéologie copte","BACopt"
"Badische Fundberichte","BadFuBer"
"Baetica. Estudios de arte, geografía e historia","Baetica"
"Baghdader Forschungen","BaF"
"Balácai közlemények","BalacaiKoez"
"Balkan Studies","BalkSt"
"Bulletin of the Institute of Archaeology, University of London","BALond"
"Bulletin d'archéologie luxembourgeoise","BALux"
"Baghdader Mitteilungen","BaM"
"Bulletin d'archéologie marocaine","BAMaroc"
"The Bulletin of the American Society of Papyrologists","BAmSocP"
"Bulletin of the Ancient Orient Museum (Tokyo)","BAncOrMus"
"Bulletin du Centre de recherches et d'enseignement de l'antiquité, Angers","BAngers"
"Bulletin of the Anglo-Israel Archaeological Society","BAngloIsrASoc"
"Bollettino annuale. Musei ferraresi","BAnnMusFerr"
"Bulletin de la Société nationale des antiquaires de France","BAntFr"
"Bulletin des antiquités luxembourgeoises","BAntLux"
"Bulletin archéologique du Comité des travaux historiques et scientifiques. Antiquités nationales","BAParis"
"Bulletin archéologique de Provence","BAProv"
"British Archaeological Reports. British Series","BAR"
"Bulletin. Société archéologique d'Alexandrie","BArchAlex"
"Bollettino del Centro di studi per la storia dell'architettura","BArchit"
"British Archaeological Reports. International Series","BARIntSer"
"Nuovo bullettino archeologico sardo","BASard"
"Boletín. Asociación española de amigos de la arqueología","BAsEspA"
"Bulletin of the Asia Institute","BAsInst"
"Bulletin of the American Schools of Oriental Research","BASOR"
"Bulletin de l'Association Guillaume Budé","BAssBude"
"Bulletin d'information de l'Association internationale pour l'étude de la mosaïque antique","BAssMosAnt"
"Bollettino di archeologia subacquea","BASub"
"Bulletin d'archéologie sud-est européenne","BASudEstEur"
"Bulletí arqueològic. Reial societat arqueològica tarraconense. Boletín arqueológico. Real sociedad arqueológica tarragonese","BATarr"
"Boletín auriense","BAur"
"Beiträge zur Allgemeinen und Vergleichenden Archäologie","BAVA"
"Bayerische Vorgeschichtsblätter","BayVgBl"
"Bollettino storico della Basilicata","BBasil"
"Bulletin de l'Institut historique belge de Rome","BBelgRom"
"Bollettino di studi e ricerche. Biblioteca comunale di Bolsena","BBolsena"
"Bulletin of British Byzantine Studies","BBrByzSt"
"Bullettino del Centro Camuno di studi preistorici","BCamuno"
"Beni culturali e ambientali. Sicilia","BCASic"
"Bulletin du Cercle d'études numismatiques","BCercleNum"
"Bulletin de correspondance hellénique","BCH"
"Bollettino del Circolo numismatico napoletano","BCircNumNap"
"Bollettino dei classici","BCl"
"The Bulletin of The Cleveland Museum of Art","BClevMus"
"Bullettino della Commissione archeologica comunale di Roma","BCom"
"Bulletin d'information de l'Association internationale pour l'étude de la mosaïque antique","BCord"
"Bollettino d'arte","BdA"
"Bibliothèque d'études, Institut français d'archéologie orientale, Kairo","BdE"
"Bibliothèque d'études coptes, Institut français d'archéologie orientale, Kairo","BdEC"
"Bullettino dell'Instituto di corrispondenza archeologica","BdI"
"Bullettino dell'Istituto di diritto romano »Vittorio Scialoja«","BDirRom"
"T. H. Carpenter (Hrsg.), Beazley Addenda \textsuperscript{2}(Oxford 1989)","BeazleyAddenda2"
"J. D. Beazley, Paralipomena. Additions to Attic Black-figure Vase-painters and to Attic Red-figure Vase-painters (Oxford 1971)","BeazleyPara."
"Bulletin (annuel) de l'École antique de Nîmes","BEcAntNimes"
"Bedi Kartlisa. Revue de kartvélologie","BediKart"
"Bibliothèque des Écoles françaises d'Athènes et de Rome","BEFAR"
"Beiträge zur Erschließung hellenistischer und kaiserzeitlicher Skulptur und Architektur","BeitrESkAr"
"Beiträge zur Namenforschung","BeitrNamF"
"Beiträge zur Sudanforschung","BeitrSudanF"
"Bellas artes (Madrid)","BelArt"
"Belleten. Türk Tarih Kurumu","Belleten"
"Benàcus. Museo archeologico della Val Tenesi","Benacus"
